Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.302,6.722,5.147,2058,-5.071
RollerBallBrain,0.480,12.045,4.353,2057,-5.148
RollerBallBrain,0.349,17.515,4.625,2049,-5.108
RollerBallBrain,0.356,22.757,4.375,2061,-5.108
RollerBallBrain,0.414,28.090,4.406,2049,-5.137
RollerBallBrain,0.515,34.211,4.976,2051,-5.180
RollerBallBrain,0.400,40.127,4.911,2053,-5.212
RollerBallBrain,0.412,45.994,4.866,2058,-5.242
RollerBallBrain,0.492,52.266,5.157,2060,-5.288
RollerBallBrain,0.300,60.024,6.867,2056,-5.282
RollerBallBrain,0.309,64.787,4.029,2056,-5.281
RollerBallBrain,0.310,69.476,3.966,2057,-5.299
RollerBallBrain,0.297,74.061,3.896,2061,-5.295
RollerBallBrain,0.298,78.693,3.934,2060,-5.292
RollerBallBrain,0.298,83.202,3.813,2057,-5.284
RollerBallBrain,0.298,87.802,3.882,2052,-5.306
RollerBallBrain,0.307,92.371,3.858,2065,-5.313
RollerBallBrain,0.301,97.296,4.188,2051,-5.316
RollerBallBrain,0.321,102.145,4.082,2074,-5.326
RollerBallBrain,0.288,106.944,4.109,2060,-5.333
RollerBallBrain,0.283,111.671,4.026,2063,-5.316
RollerBallBrain,0.287,116.336,3.960,2071,-5.329
RollerBallBrain,0.296,120.948,3.923,2081,-5.324
RollerBallBrain,0.302,125.476,3.851,2092,-5.317
RollerBallBrain,0.302,130.021,3.859,2056,-5.289
RollerBallBrain,0.288,134.474,3.780,2058,-5.281
RollerBallBrain,0.316,139.055,3.881,2057,-5.260
RollerBallBrain,0.284,143.541,3.803,2061,-5.241
RollerBallBrain,0.312,148.326,4.046,2062,-5.217
RollerBallBrain,0.297,153.234,4.183,2065,-5.209
RollerBallBrain,0.300,157.946,3.997,2079,-5.196
RollerBallBrain,0.370,162.547,3.841,2049,-5.186
RollerBallBrain,0.296,167.010,3.775,2054,-5.171
RollerBallBrain,0.309,171.592,3.878,2055,-5.173
RollerBallBrain,0.312,176.084,3.785,2068,-5.162
RollerBallBrain,0.296,180.655,3.877,2057,-5.153
RollerBallBrain,0.294,185.155,3.835,2065,-5.139
RollerBallBrain,0.294,189.733,3.893,2057,-5.129
RollerBallBrain,0.317,194.619,4.131,2079,-5.120
RollerBallBrain,0.323,199.521,4.183,2061,-5.091
RollerBallBrain,0.331,204.214,3.963,2049,-5.072
RollerBallBrain,0.303,208.701,3.807,2086,-5.053
RollerBallBrain,0.309,213.644,4.216,2090,-5.026
RollerBallBrain,0.305,218.215,3.861,2088,-5.004
RollerBallBrain,0.290,222.754,3.861,2061,-4.978
RollerBallBrain,0.336,227.389,3.888,2050,-4.933
RollerBallBrain,0.319,232.174,4.039,2050,-4.903
