Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.292,6.486,4.918,2056,-5.104
RollerBallBrain,0.377,11.350,4.092,2060,-4.763
RollerBallBrain,0.248,15.977,3.979,2058,-4.700
RollerBallBrain,0.245,21.923,5.309,2051,-4.573
RollerBallBrain,0.252,26.166,3.647,2052,-4.577
RollerBallBrain,0.461,31.482,4.373,2057,-4.527
RollerBallBrain,0.367,37.043,4.660,2052,-4.496
RollerBallBrain,0.339,42.855,4.910,2053,-4.426
RollerBallBrain,0.374,48.186,4.468,2053,-4.430
RollerBallBrain,0.372,53.559,4.510,2049,-4.427
RollerBallBrain,0.353,59.201,4.746,2058,-4.405
RollerBallBrain,0.354,64.572,4.507,2061,-4.372
RollerBallBrain,0.345,69.995,4.568,2060,-4.339
RollerBallBrain,0.369,75.272,4.404,2060,-4.314
RollerBallBrain,0.351,80.911,4.747,2061,-4.301
RollerBallBrain,0.341,86.303,4.533,2052,-4.284
RollerBallBrain,0.349,91.500,4.356,2066,-4.293
RollerBallBrain,0.375,96.787,4.424,2119,-4.282
RollerBallBrain,0.370,102.042,4.395,2052,-4.276
RollerBallBrain,0.340,107.408,4.533,2052,-4.239
RollerBallBrain,0.377,112.839,4.526,2091,-4.231
RollerBallBrain,0.430,118.302,4.510,2053,-4.206
RollerBallBrain,0.379,123.770,4.555,2052,-4.203
RollerBallBrain,0.366,129.209,4.544,2054,-4.191
RollerBallBrain,0.382,134.447,4.373,2073,-4.198
RollerBallBrain,0.333,140.202,4.882,2053,-4.189
RollerBallBrain,0.341,145.512,4.438,2051,-4.185
RollerBallBrain,0.375,150.927,4.527,2057,-4.170
RollerBallBrain,0.369,156.610,4.766,2054,-4.151
RollerBallBrain,0.345,162.000,4.536,2083,-4.142
RollerBallBrain,0.347,167.667,4.777,2049,-4.149
RollerBallBrain,0.358,173.292,4.714,2068,-4.140
RollerBallBrain,0.356,178.610,4.450,2085,-4.132
RollerBallBrain,0.341,183.921,4.441,2053,-4.129
RollerBallBrain,0.336,189.196,4.446,2061,-4.119
RollerBallBrain,0.350,194.550,4.507,2060,-4.105
RollerBallBrain,0.337,200.265,4.837,2059,-4.092
RollerBallBrain,0.343,205.502,4.405,2063,-4.094
RollerBallBrain,0.366,210.989,4.602,2059,-4.087
RollerBallBrain,0.348,216.171,4.367,2073,-4.084
RollerBallBrain,0.294,221.321,4.418,2056,-4.083
RollerBallBrain,0.406,226.038,3.934,2054,-4.078
RollerBallBrain,0.334,231.840,4.925,2066,-4.077
RollerBallBrain,0.366,237.280,4.552,2053,-4.079
RollerBallBrain,0.400,242.898,4.714,2051,-4.083
RollerBallBrain,0.345,248.184,4.426,2055,-4.084
RollerBallBrain,0.344,253.338,4.350,2051,-4.085
RollerBallBrain,0.384,258.620,4.411,2058,-4.080
RollerBallBrain,0.334,263.884,4.414,2059,-4.075
RollerBallBrain,0.329,269.664,4.934,2058,-4.072
RollerBallBrain,0.329,274.996,4.512,2054,-4.074
RollerBallBrain,0.474,280.443,4.513,2083,-4.080
RollerBallBrain,0.260,285.657,4.484,2064,-4.083
RollerBallBrain,0.311,290.840,4.421,2060,-4.084
RollerBallBrain,0.310,296.124,4.512,2056,-4.083
RollerBallBrain,0.290,301.111,4.293,2062,-4.085
RollerBallBrain,0.261,305.852,4.109,2098,-4.087
RollerBallBrain,0.254,310.466,4.003,2105,-4.096
RollerBallBrain,0.323,315.055,3.904,2063,-4.093
RollerBallBrain,0.258,319.860,4.134,2081,-4.096
RollerBallBrain,0.290,324.339,3.823,2094,-4.099
RollerBallBrain,0.245,329.069,4.098,2056,-4.094
RollerBallBrain,0.254,333.454,3.759,2071,-4.092
RollerBallBrain,0.241,337.639,3.605,2057,-4.091
RollerBallBrain,0.283,341.820,3.580,2055,-4.095
RollerBallBrain,0.275,346.559,4.075,2066,-4.098
RollerBallBrain,0.279,350.944,3.753,2052,-4.096
RollerBallBrain,0.238,355.166,3.647,2080,-4.096
RollerBallBrain,0.240,359.220,3.501,2054,-4.102
RollerBallBrain,0.292,363.720,3.866,2054,-4.103
RollerBallBrain,0.245,368.056,3.766,2097,-4.102
RollerBallBrain,0.331,372.688,3.923,2055,-4.105
RollerBallBrain,0.284,377.084,3.788,2056,-4.105
RollerBallBrain,0.296,381.874,4.110,2067,-4.104
RollerBallBrain,0.289,386.144,3.657,2088,-4.111
RollerBallBrain,0.247,390.489,3.747,2056,-4.112
RollerBallBrain,0.246,394.702,3.631,2057,-4.111
RollerBallBrain,0.256,399.193,3.889,2105,-4.106
RollerBallBrain,0.247,403.875,4.053,2050,-4.105
RollerBallBrain,0.282,408.449,3.898,2109,-4.105
RollerBallBrain,0.263,412.966,3.899,2064,-4.097
RollerBallBrain,0.244,417.280,3.741,2066,-4.101
RollerBallBrain,0.265,421.695,3.789,2049,-4.099
RollerBallBrain,0.273,426.007,3.707,2071,-4.095
RollerBallBrain,0.239,430.445,3.854,2056,-4.089
RollerBallBrain,0.254,434.643,3.633,2053,-4.081
RollerBallBrain,0.259,438.935,3.684,2069,-4.076
RollerBallBrain,0.302,443.446,3.858,2053,-4.070
RollerBallBrain,0.255,447.709,3.675,2071,-4.066
RollerBallBrain,0.248,452.146,3.839,2060,-4.059
RollerBallBrain,0.246,456.464,3.739,2073,-4.052
RollerBallBrain,0.243,460.971,3.771,2062,-4.050
