Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.302,6.379,5.003,2075,-4.532
RollerBallBrain,0.268,9.780,2.916,2230,-4.518
RollerBallBrain,0.248,12.982,2.758,2083,-4.486
RollerBallBrain,0.250,16.136,2.690,2049,-4.505
RollerBallBrain,0.257,19.201,2.591,2062,-4.567
RollerBallBrain,0.401,22.792,2.954,2079,-4.449
RollerBallBrain,0.352,26.510,3.117,2049,-4.526
RollerBallBrain,0.357,30.092,2.990,2112,-4.501
RollerBallBrain,0.358,34.100,3.371,2162,-4.498
RollerBallBrain,0.344,37.987,3.271,2052,-4.507
RollerBallBrain,0.429,41.762,3.081,2096,-4.511
RollerBallBrain,0.381,45.737,3.279,2082,-4.475
RollerBallBrain,0.428,49.901,3.420,2172,-4.443
RollerBallBrain,0.371,54.034,3.456,2099,-4.421
RollerBallBrain,0.351,57.949,3.286,2060,-4.365
RollerBallBrain,0.359,61.572,2.995,2052,-4.310
RollerBallBrain,0.348,65.667,3.435,2165,-4.267
RollerBallBrain,0.273,69.349,3.159,2177,-4.229
RollerBallBrain,0.257,72.652,2.835,2116,-4.205
RollerBallBrain,0.278,75.919,2.786,2098,-4.199
RollerBallBrain,0.267,78.930,2.560,2049,-4.189
RollerBallBrain,0.287,82.168,2.739,2097,-4.184
RollerBallBrain,0.250,85.429,2.786,2056,-4.177
RollerBallBrain,0.256,88.275,2.422,2053,-4.168
RollerBallBrain,0.317,91.674,2.865,2112,-4.147
RollerBallBrain,0.286,94.885,2.733,2049,-4.137
RollerBallBrain,0.256,97.944,2.610,2062,-4.138
RollerBallBrain,0.275,101.210,2.784,2111,-4.139
RollerBallBrain,0.368,105.009,3.171,2097,-4.122
RollerBallBrain,0.386,108.945,3.276,2099,-4.115
RollerBallBrain,0.385,112.695,3.107,2069,-4.111
RollerBallBrain,0.410,116.486,3.131,2080,-4.111
RollerBallBrain,0.379,120.396,3.272,2080,-4.111
RollerBallBrain,0.372,124.145,3.131,2108,-4.105
RollerBallBrain,0.376,127.984,3.188,2080,-4.105
RollerBallBrain,0.424,131.686,2.999,2054,-4.093
RollerBallBrain,0.394,135.711,3.348,2092,-4.080
RollerBallBrain,0.338,139.618,3.320,2113,-4.074
RollerBallBrain,0.379,143.118,2.868,2074,-4.074
RollerBallBrain,0.388,147.138,3.351,2053,-4.076
RollerBallBrain,0.411,150.981,3.160,2049,-4.076
RollerBallBrain,0.407,156.535,4.863,2080,-4.076
RollerBallBrain,0.346,160.430,3.255,2080,-4.076
RollerBallBrain,0.498,164.156,3.036,2080,-4.076
RollerBallBrain,0.399,168.168,3.394,2080,-4.076
RollerBallBrain,0.365,171.729,2.991,2080,-4.076
RollerBallBrain,0.386,175.728,3.343,2077,-4.074
RollerBallBrain,0.430,179.551,3.139,2080,-4.074
RollerBallBrain,0.372,183.294,3.113,2080,-4.074
RollerBallBrain,0.408,187.011,3.107,2080,-4.074
RollerBallBrain,0.378,190.635,3.042,2080,-4.074
RollerBallBrain,0.359,194.306,3.119,2080,-4.074
RollerBallBrain,0.364,197.641,2.801,2080,-4.074
RollerBallBrain,0.388,201.368,3.104,2080,-4.083
RollerBallBrain,0.365,205.152,3.161,2087,-4.069
RollerBallBrain,0.354,208.715,2.974,2082,-4.061
RollerBallBrain,0.342,212.346,3.055,2076,-4.048
RollerBallBrain,0.380,216.002,3.025,2080,-4.048
RollerBallBrain,0.389,219.862,3.202,2080,-4.048
RollerBallBrain,0.371,223.742,3.235,2101,-4.046
RollerBallBrain,0.348,227.302,2.967,2066,-4.046
RollerBallBrain,0.345,231.269,3.354,2104,-4.040
RollerBallBrain,0.385,234.988,3.084,2092,-4.032
RollerBallBrain,0.382,238.841,3.195,2083,-4.032
RollerBallBrain,0.382,242.338,2.870,2051,-4.034
RollerBallBrain,0.394,246.309,3.268,2049,-4.011
RollerBallBrain,0.350,250.017,3.105,2052,-4.004
RollerBallBrain,0.352,253.886,3.237,2095,-3.997
RollerBallBrain,0.402,257.773,3.225,2080,-3.997
RollerBallBrain,0.384,261.352,2.990,2080,-3.997
RollerBallBrain,0.392,265.063,3.110,2080,-3.997
RollerBallBrain,0.403,268.967,3.276,2080,-3.997
RollerBallBrain,0.343,272.315,2.828,2080,-3.997
RollerBallBrain,0.392,276.227,3.267,2057,-3.997
RollerBallBrain,0.347,280.186,3.323,2096,-3.997
RollerBallBrain,0.350,283.999,3.199,2096,-3.991
RollerBallBrain,0.349,288.173,3.552,2070,-3.985
RollerBallBrain,0.401,291.764,2.953,2080,-3.985
RollerBallBrain,0.471,295.632,3.139,2080,-3.985
RollerBallBrain,0.366,299.168,2.990,2080,-3.985
RollerBallBrain,0.370,302.961,3.218,2080,-3.985
RollerBallBrain,0.374,306.630,3.102,2080,-3.985
RollerBallBrain,0.400,310.259,3.041,2058,-3.986
RollerBallBrain,0.359,314.168,3.268,2116,-3.981
RollerBallBrain,0.379,317.818,3.017,2083,-3.973
RollerBallBrain,0.368,321.554,3.128,2106,-3.960
RollerBallBrain,0.346,325.313,3.152,2110,-3.959
RollerBallBrain,0.339,328.870,2.974,2097,-3.953
RollerBallBrain,0.460,332.692,3.110,2105,-3.954
RollerBallBrain,0.286,336.258,3.009,2099,-3.942
RollerBallBrain,0.258,339.471,2.734,2080,-3.942
RollerBallBrain,0.289,342.491,2.551,2080,-3.942
RollerBallBrain,0.254,345.659,2.719,2085,-3.942
RollerBallBrain,0.251,348.614,2.553,2080,-3.942
RollerBallBrain,0.266,351.724,2.674,2080,-3.942
RollerBallBrain,0.290,354.957,2.777,2080,-3.942
RollerBallBrain,0.280,358.203,2.788,2080,-3.942
RollerBallBrain,0.267,361.425,2.786,2080,-3.942
RollerBallBrain,0.258,364.337,2.523,2052,-3.943
RollerBallBrain,0.246,367.458,2.669,2107,-3.937
RollerBallBrain,0.314,370.560,2.605,2099,-3.932
RollerBallBrain,0.285,373.846,2.784,2080,-3.932
RollerBallBrain,0.267,376.910,2.611,2059,-3.931
RollerBallBrain,0.328,380.013,2.591,2081,-3.930
RollerBallBrain,0.324,383.333,2.774,2092,-3.926
RollerBallBrain,0.298,386.428,2.607,2080,-3.926
RollerBallBrain,0.285,389.699,2.808,2080,-3.926
RollerBallBrain,0.280,392.574,2.460,2080,-3.926
RollerBallBrain,0.282,395.871,2.841,2080,-3.926
RollerBallBrain,0.300,399.311,2.955,2080,-3.926
RollerBallBrain,0.356,402.920,3.016,2081,-3.927
RollerBallBrain,0.352,406.929,3.370,2080,-3.927
RollerBallBrain,0.343,410.381,2.877,2080,-3.927
RollerBallBrain,0.388,414.151,3.183,2080,-3.927
RollerBallBrain,0.364,417.455,2.786,2080,-3.927
RollerBallBrain,0.338,421.367,3.359,2080,-3.927
RollerBallBrain,0.342,425.134,3.226,2080,-3.927
RollerBallBrain,0.381,428.694,2.971,2080,-3.927
RollerBallBrain,0.361,432.563,3.292,2080,-3.927
RollerBallBrain,0.349,436.011,2.909,2072,-3.930
RollerBallBrain,0.335,439.748,3.159,2124,-3.932
RollerBallBrain,0.340,443.421,3.081,2103,-3.930
RollerBallBrain,0.346,446.894,2.906,2086,-3.930
RollerBallBrain,0.366,450.550,3.073,2054,-3.929
RollerBallBrain,0.343,454.117,2.993,2081,-3.921
RollerBallBrain,0.364,457.939,3.210,2096,-3.922
RollerBallBrain,0.447,461.750,3.123,2106,-3.920
RollerBallBrain,0.343,465.294,2.970,2080,-3.920
RollerBallBrain,0.340,468.861,2.994,2080,-3.920
RollerBallBrain,0.269,472.105,2.779,2080,-3.920
RollerBallBrain,0.283,475.062,2.527,2080,-3.920
RollerBallBrain,0.252,478.293,2.825,2145,-3.920
RollerBallBrain,0.254,481.261,2.583,2080,-3.920
RollerBallBrain,0.344,484.964,3.108,2080,-3.917
