Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.320,7.458,5.932,2133,-4.421
RollerBallBrain,0.376,11.779,3.583,2112,-5.367
RollerBallBrain,0.312,15.747,3.396,2104,-5.466
RollerBallBrain,0.356,19.833,3.484,2080,-5.466
RollerBallBrain,0.331,24.000,3.546,2078,-7.727
RollerBallBrain,0.321,28.277,3.604,2080,-7.727
RollerBallBrain,0.319,32.260,3.351,2079,-8.476
RollerBallBrain,0.315,36.267,3.430,2049,-8.530
RollerBallBrain,0.302,40.342,3.475,2105,-12.302
RollerBallBrain,0.390,44.581,3.547,2053,-11.936
RollerBallBrain,0.310,48.472,3.299,2066,-10.589
RollerBallBrain,0.350,52.968,3.776,2080,-10.589
RollerBallBrain,0.325,56.971,3.384,2072,-10.749
RollerBallBrain,0.308,61.105,3.531,2105,-10.408
RollerBallBrain,0.333,64.908,3.226,2117,-11.489
RollerBallBrain,0.312,69.533,3.928,2075,-11.309
RollerBallBrain,0.317,73.440,3.298,2113,-11.188
RollerBallBrain,0.314,77.673,3.583,2093,-11.294
RollerBallBrain,0.326,81.598,3.308,2098,-10.841
RollerBallBrain,0.295,85.860,3.607,2101,-10.653
RollerBallBrain,0.293,89.585,3.151,2054,-9.727
RollerBallBrain,0.304,93.808,3.585,2087,-10.161
RollerBallBrain,0.298,97.857,3.459,2100,-10.137
RollerBallBrain,0.342,101.901,3.383,2089,-9.991
RollerBallBrain,0.316,105.794,3.265,2059,-9.774
RollerBallBrain,0.291,109.800,3.386,2097,-9.729
RollerBallBrain,0.355,114.059,3.567,2067,-9.651
RollerBallBrain,0.310,117.960,3.301,2091,-9.692
RollerBallBrain,0.291,121.823,3.246,2052,-9.413
RollerBallBrain,0.333,125.886,3.411,2068,-8.754
RollerBallBrain,0.361,130.145,3.598,2089,-8.544
RollerBallBrain,0.331,134.157,3.428,2145,-8.544
RollerBallBrain,0.320,138.134,3.363,2068,-8.585
RollerBallBrain,0.329,142.059,3.340,2104,-8.651
RollerBallBrain,0.314,146.061,3.354,2050,-8.711
RollerBallBrain,0.293,150.167,3.458,2097,-8.669
RollerBallBrain,0.332,154.232,3.410,2110,-8.576
RollerBallBrain,0.316,158.279,3.414,2058,-8.658
RollerBallBrain,0.306,162.172,3.280,2075,-8.721
RollerBallBrain,0.344,166.497,3.625,2106,-8.612
RollerBallBrain,0.306,170.418,3.277,2083,-8.465
RollerBallBrain,0.305,174.544,3.512,2054,-8.347
RollerBallBrain,0.293,178.408,3.283,2088,-8.255
RollerBallBrain,0.304,182.691,3.620,2105,-7.868
RollerBallBrain,0.364,186.951,3.555,2051,-7.583
RollerBallBrain,0.356,191.014,3.404,2071,-7.456
RollerBallBrain,0.292,195.216,3.570,2165,-7.402
RollerBallBrain,0.359,199.519,3.587,2056,-7.220
RollerBallBrain,0.288,203.584,3.444,2074,-7.056
RollerBallBrain,0.319,207.443,3.230,2049,-6.870
RollerBallBrain,0.294,211.518,3.440,2052,-6.737
RollerBallBrain,0.295,215.493,3.356,2055,-6.516
RollerBallBrain,0.326,219.544,3.431,2051,-6.359
RollerBallBrain,0.286,223.631,3.454,2057,-6.235
RollerBallBrain,0.290,227.573,3.342,2086,-6.174
RollerBallBrain,0.318,231.638,3.434,2111,-6.163
RollerBallBrain,0.300,235.500,3.246,2069,-6.117
RollerBallBrain,0.299,239.563,3.431,2091,-6.018
RollerBallBrain,0.295,243.513,3.335,2052,-5.947
RollerBallBrain,0.294,247.453,3.331,2084,-5.858
RollerBallBrain,0.292,251.344,3.278,2053,-5.829
RollerBallBrain,0.298,255.392,3.428,2077,-5.775
RollerBallBrain,0.296,259.489,3.477,2058,-5.713
RollerBallBrain,0.296,263.450,3.326,2052,-5.659
RollerBallBrain,0.305,267.614,3.504,2073,-5.617
RollerBallBrain,0.303,271.370,3.149,2056,-5.577
RollerBallBrain,0.300,275.342,3.362,2054,-5.480
RollerBallBrain,0.301,279.291,3.335,2049,-5.416
RollerBallBrain,0.298,283.416,3.455,2068,-5.360
RollerBallBrain,0.312,287.776,3.682,2055,-5.288
RollerBallBrain,0.379,292.010,3.518,2076,-5.242
RollerBallBrain,0.305,296.225,3.569,2066,-5.184
RollerBallBrain,0.299,300.185,3.341,2050,-5.110
RollerBallBrain,0.337,304.497,3.625,2074,-5.046
RollerBallBrain,0.308,308.589,3.453,2051,-4.991
RollerBallBrain,0.341,312.842,3.550,2052,-4.937
RollerBallBrain,0.355,316.947,3.399,2053,-4.871
RollerBallBrain,0.312,321.055,3.459,2054,-4.791
RollerBallBrain,0.302,325.106,3.425,2064,-4.730
RollerBallBrain,0.295,329.169,3.432,2058,-4.658
RollerBallBrain,0.295,333.242,3.448,2050,-4.586
RollerBallBrain,0.321,337.362,3.436,2073,-4.533
RollerBallBrain,0.251,341.434,3.487,2055,-4.492
RollerBallBrain,0.291,345.700,3.652,2053,-4.445
RollerBallBrain,0.296,349.840,3.496,2058,-4.404
RollerBallBrain,0.292,353.919,3.448,2055,-4.361
RollerBallBrain,0.376,358.183,3.508,2062,-4.316
RollerBallBrain,0.324,362.394,3.549,2054,-4.281
RollerBallBrain,0.309,366.787,3.691,2057,-4.231
