Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.270,6.377,5.041,2053,-4.192
RollerBallBrain,0.270,10.216,3.279,2062,-4.255
RollerBallBrain,0.390,14.532,3.558,2052,-4.087
RollerBallBrain,0.454,19.417,4.016,2095,-4.175
RollerBallBrain,0.333,23.988,3.853,2082,-3.815
RollerBallBrain,0.346,28.386,3.682,2057,-3.839
RollerBallBrain,0.308,32.801,3.725,2052,-3.981
RollerBallBrain,0.335,37.190,3.683,2051,-3.926
RollerBallBrain,0.337,41.639,3.727,2060,-3.844
RollerBallBrain,0.321,46.281,3.928,2094,-3.610
RollerBallBrain,0.328,50.811,3.807,2121,-3.525
RollerBallBrain,0.322,55.142,3.628,2054,-3.500
RollerBallBrain,0.372,59.482,3.623,2087,-3.343
RollerBallBrain,0.311,63.893,3.715,2060,-3.375
RollerBallBrain,0.352,68.582,3.904,2072,-3.295
RollerBallBrain,0.482,73.517,4.035,2051,-3.234
RollerBallBrain,0.309,77.990,3.777,2051,-3.077
RollerBallBrain,0.316,82.438,3.745,2060,-3.017
RollerBallBrain,0.325,87.033,3.835,2050,-2.983
RollerBallBrain,0.411,91.458,3.639,2086,-2.952
RollerBallBrain,0.325,96.166,3.943,2079,-2.734
RollerBallBrain,0.320,100.390,3.566,2053,-2.615
RollerBallBrain,0.320,104.922,3.800,2049,-2.575
RollerBallBrain,0.382,109.395,3.716,2091,-2.475
RollerBallBrain,0.355,114.405,4.198,2053,-2.436
RollerBallBrain,0.348,119.079,3.955,2050,-2.359
RollerBallBrain,0.335,123.579,3.762,2055,-2.320
RollerBallBrain,0.272,127.193,3.074,2055,-2.183
RollerBallBrain,0.251,130.770,3.073,2056,-2.095
RollerBallBrain,0.303,134.798,3.380,2082,-2.124
RollerBallBrain,0.419,139.556,3.957,2054,-2.079
RollerBallBrain,0.320,143.927,3.655,2105,-1.941
RollerBallBrain,0.319,148.367,3.729,2097,-1.930
RollerBallBrain,0.314,152.826,3.770,2081,-1.827
RollerBallBrain,0.435,157.515,3.883,2095,-1.860
RollerBallBrain,0.318,161.731,3.557,2057,-1.675
RollerBallBrain,0.333,166.009,3.602,2051,-1.555
RollerBallBrain,0.506,170.603,3.716,2096,-1.530
RollerBallBrain,0.326,175.720,4.320,2081,-1.439
RollerBallBrain,0.333,180.488,4.012,2052,-1.391
RollerBallBrain,0.333,184.791,3.588,2069,-1.326
RollerBallBrain,0.351,189.418,3.894,2077,-1.257
RollerBallBrain,0.331,193.828,3.700,2103,-1.197
RollerBallBrain,0.360,198.385,3.825,2083,-1.147
RollerBallBrain,0.385,203.480,4.251,2072,-1.122
RollerBallBrain,0.394,208.178,3.893,2055,-0.993
RollerBallBrain,0.239,212.259,3.504,2078,-0.894
RollerBallBrain,0.285,216.056,3.197,2105,-0.881
RollerBallBrain,0.251,219.695,3.114,2050,-0.654
RollerBallBrain,0.232,223.297,3.106,2052,-0.566
RollerBallBrain,0.259,226.875,3.074,2079,-0.526
RollerBallBrain,0.238,230.438,3.067,2074,-0.437
RollerBallBrain,0.250,234.095,3.126,2072,-0.310
RollerBallBrain,0.226,237.694,3.114,2068,-0.295
RollerBallBrain,0.248,240.991,2.810,2079,-0.225
RollerBallBrain,0.303,244.486,2.952,2068,-0.182
RollerBallBrain,0.264,248.448,3.402,2072,-0.096
RollerBallBrain,0.228,251.833,2.908,2099,-0.021
RollerBallBrain,0.253,255.283,2.937,2057,0.011
RollerBallBrain,0.272,258.889,3.063,2078,0.108
RollerBallBrain,0.244,262.732,3.309,2099,0.213
RollerBallBrain,0.229,266.028,2.823,2062,0.258
RollerBallBrain,0.226,269.634,3.109,2103,0.391
RollerBallBrain,0.298,273.370,3.159,2060,0.494
RollerBallBrain,0.326,277.911,3.823,2059,0.634
RollerBallBrain,0.312,282.042,3.467,2081,0.768
RollerBallBrain,0.327,286.526,3.757,2087,0.854
RollerBallBrain,0.423,291.306,3.929,2058,0.980
RollerBallBrain,0.325,295.472,3.470,2052,1.114
RollerBallBrain,0.344,300.292,4.062,2071,1.244
RollerBallBrain,0.364,304.764,3.733,2070,1.376
RollerBallBrain,0.346,309.575,4.027,2063,1.548
RollerBallBrain,0.366,314.219,3.886,2050,1.729
RollerBallBrain,0.448,319.463,4.328,2095,1.780
