Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.542,9.516,7.566,2088,-8.574
RollerBallBrain,0.598,14.111,3.747,2074,-7.673
RollerBallBrain,0.726,19.637,4.448,2049,-7.164
RollerBallBrain,0.479,24.756,4.317,2054,-6.691
RollerBallBrain,0.459,29.196,3.715,2062,-6.945
RollerBallBrain,0.420,33.574,3.698,2052,-6.937
RollerBallBrain,0.527,38.625,4.176,2053,-6.899
RollerBallBrain,0.557,44.039,4.496,2049,-6.835
RollerBallBrain,0.608,49.950,4.831,2050,-6.847
RollerBallBrain,0.700,55.688,4.667,2058,-6.685
RollerBallBrain,0.829,62.134,5.156,2072,-6.568
RollerBallBrain,0.606,68.214,5.012,2053,-6.422
RollerBallBrain,0.619,74.077,4.801,2072,-6.315
RollerBallBrain,0.674,80.100,4.950,2058,-6.322
RollerBallBrain,0.654,85.852,4.703,2053,-6.176
RollerBallBrain,0.488,90.879,4.185,2052,-6.038
RollerBallBrain,0.394,95.364,3.806,2071,-5.987
RollerBallBrain,0.432,99.444,3.384,2066,-5.947
RollerBallBrain,0.479,103.807,3.611,2055,-5.755
RollerBallBrain,0.411,108.347,3.825,2059,-5.654
RollerBallBrain,0.443,112.707,3.657,2057,-5.618
RollerBallBrain,0.450,117.229,3.797,2060,-5.531
RollerBallBrain,0.547,121.850,3.770,2052,-5.423
RollerBallBrain,0.604,127.606,4.745,2055,-5.331
RollerBallBrain,0.572,132.924,4.396,2072,-5.255
RollerBallBrain,0.611,138.062,4.206,2053,-5.052
RollerBallBrain,0.589,143.102,4.113,2050,-5.041
RollerBallBrain,0.466,148.189,4.272,2050,-5.057
RollerBallBrain,0.415,152.544,3.686,2050,-4.988
RollerBallBrain,0.409,156.601,3.394,2069,-4.885
RollerBallBrain,0.432,161.096,3.789,2088,-4.827
RollerBallBrain,0.495,165.509,3.640,2055,-4.722
RollerBallBrain,0.710,171.173,4.537,2061,-4.699
RollerBallBrain,0.629,176.630,4.472,2056,-4.685
RollerBallBrain,0.501,181.340,3.920,2080,-4.673
RollerBallBrain,0.482,185.676,3.608,2049,-4.633
RollerBallBrain,0.593,190.495,3.928,2109,-4.573
RollerBallBrain,0.557,195.392,4.016,2049,-4.565
RollerBallBrain,0.643,200.275,3.907,2053,-4.455
RollerBallBrain,0.567,205.623,4.423,2109,-4.339
RollerBallBrain,0.469,210.285,3.886,2064,-4.222
RollerBallBrain,0.448,214.828,3.809,2052,-4.086
RollerBallBrain,0.420,219.067,3.572,2071,-4.034
RollerBallBrain,0.565,223.200,3.317,2053,-3.932
RollerBallBrain,0.418,227.215,3.358,2085,-3.840
RollerBallBrain,0.396,231.343,3.510,2057,-3.784
RollerBallBrain,0.411,235.267,3.292,2067,-3.649
RollerBallBrain,0.403,239.365,3.448,2060,-3.642
RollerBallBrain,0.404,243.600,3.576,2097,-3.525
RollerBallBrain,0.584,247.860,3.422,2054,-3.321
RollerBallBrain,0.425,252.167,3.625,2111,-3.233
RollerBallBrain,0.480,256.532,3.639,2069,-3.125
RollerBallBrain,0.582,261.608,4.159,2062,-3.048
RollerBallBrain,0.601,266.903,4.342,2074,-2.984
RollerBallBrain,0.623,271.913,4.087,2068,-2.861
RollerBallBrain,0.619,276.714,3.857,2054,-2.823
RollerBallBrain,0.577,281.988,4.364,2057,-2.713
RollerBallBrain,0.681,287.037,4.046,2079,-2.548
RollerBallBrain,0.628,292.374,4.365,2069,-2.490
RollerBallBrain,0.507,297.420,4.224,2055,-2.384
RollerBallBrain,0.451,301.709,3.580,2059,-2.224
RollerBallBrain,0.465,306.026,3.605,2097,-2.139
RollerBallBrain,0.534,310.307,3.500,2095,-2.059
RollerBallBrain,0.494,314.513,3.462,2061,-1.890
RollerBallBrain,0.459,318.577,3.352,2070,-1.846
RollerBallBrain,0.414,322.726,3.494,2094,-1.773
RollerBallBrain,0.439,326.744,3.335,2072,-1.661
RollerBallBrain,0.503,330.858,3.382,2051,-1.485
RollerBallBrain,0.476,335.132,3.550,2053,-1.280
RollerBallBrain,0.543,339.189,3.285,2089,-1.148
RollerBallBrain,0.496,343.388,3.470,2050,-1.004
RollerBallBrain,0.508,347.532,3.407,2052,-0.935
RollerBallBrain,0.482,351.928,3.654,2170,-0.741
RollerBallBrain,0.449,356.017,3.417,2070,-0.631
RollerBallBrain,0.474,359.959,3.250,2061,-0.499
RollerBallBrain,0.432,363.939,3.337,2051,-0.348
RollerBallBrain,0.484,368.164,3.504,2058,-0.184
RollerBallBrain,0.470,372.111,3.250,2069,-0.005
RollerBallBrain,0.486,376.255,3.407,2076,0.168
RollerBallBrain,0.513,380.448,3.459,2064,0.239
RollerBallBrain,0.440,384.374,3.281,2051,0.383
RollerBallBrain,0.443,388.635,3.582,2077,0.391
RollerBallBrain,0.453,392.625,3.310,2057,0.617
RollerBallBrain,0.456,396.794,3.487,2099,0.739
RollerBallBrain,0.435,400.805,3.364,2083,0.884
RollerBallBrain,0.433,404.881,3.403,2060,1.045
RollerBallBrain,0.429,408.946,3.405,2055,1.323
RollerBallBrain,0.481,413.257,3.591,2075,1.586
