Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.537,8.857,6.614,2078,-5.182
RollerBallBrain,0.360,13.749,4.155,2076,-5.426
RollerBallBrain,0.360,18.094,3.652,2070,-5.379
RollerBallBrain,0.468,22.810,3.861,2093,-5.369
RollerBallBrain,0.367,27.924,4.337,2086,-5.380
RollerBallBrain,0.357,32.391,3.745,2058,-5.257
RollerBallBrain,0.386,36.887,3.735,2064,-5.281
RollerBallBrain,0.403,40.964,3.383,2052,-5.305
RollerBallBrain,0.317,45.494,3.845,2068,-5.296
RollerBallBrain,0.324,49.597,3.463,2067,-5.255
RollerBallBrain,0.305,53.568,3.359,2071,-5.246
RollerBallBrain,0.315,57.650,3.460,2088,-5.204
RollerBallBrain,0.292,61.664,3.405,2066,-5.211
RollerBallBrain,0.361,65.889,3.526,2106,-5.175
RollerBallBrain,0.402,70.511,3.834,2085,-5.237
RollerBallBrain,0.340,74.688,3.511,2084,-5.013
RollerBallBrain,0.348,78.794,3.451,2082,-5.019
RollerBallBrain,0.394,82.862,3.361,2076,-5.008
RollerBallBrain,0.315,87.017,3.503,2112,-5.020
RollerBallBrain,0.346,90.868,3.202,2065,-5.032
RollerBallBrain,0.306,94.870,3.385,2054,-5.079
RollerBallBrain,0.292,98.953,3.463,2107,-5.085
RollerBallBrain,0.283,102.868,3.338,2101,-5.094
RollerBallBrain,0.275,106.499,3.097,2110,-5.097
RollerBallBrain,0.432,110.708,3.466,2089,-5.124
RollerBallBrain,0.336,114.716,3.369,2080,-5.121
RollerBallBrain,0.320,118.541,3.242,2102,-5.124
RollerBallBrain,0.370,122.827,3.616,2060,-5.134
RollerBallBrain,0.338,126.775,3.288,2099,-5.138
RollerBallBrain,0.396,130.742,3.283,2087,-5.132
RollerBallBrain,0.350,134.857,3.461,2096,-5.140
RollerBallBrain,0.333,139.033,3.512,2088,-5.145
RollerBallBrain,0.328,143.330,3.647,2106,-5.147
RollerBallBrain,0.300,147.147,3.214,2075,-5.137
RollerBallBrain,0.309,151.348,3.564,2058,-5.136
RollerBallBrain,0.324,155.134,3.185,2096,-5.140
RollerBallBrain,0.415,159.542,3.648,2063,-5.137
RollerBallBrain,0.324,163.599,3.408,2088,-5.143
RollerBallBrain,0.321,167.823,3.573,2144,-5.145
RollerBallBrain,0.315,171.950,3.509,2078,-5.147
RollerBallBrain,0.330,175.958,3.406,2061,-5.155
RollerBallBrain,0.324,179.874,3.332,2069,-5.155
RollerBallBrain,0.337,183.845,3.332,2099,-5.152
RollerBallBrain,0.324,188.195,3.707,2062,-5.150
RollerBallBrain,0.304,191.920,3.134,2082,-5.147
RollerBallBrain,0.344,196.206,3.625,2098,-5.146
RollerBallBrain,0.434,200.387,3.433,2050,-5.151
RollerBallBrain,0.402,205.041,3.850,2104,-5.201
RollerBallBrain,0.327,209.339,3.631,2077,-5.200
RollerBallBrain,0.331,213.211,3.248,2088,-5.199
RollerBallBrain,0.366,217.567,3.689,2076,-5.198
RollerBallBrain,0.324,221.351,3.167,2055,-5.198
RollerBallBrain,0.288,225.490,3.564,2080,-5.198
RollerBallBrain,0.273,229.020,3.048,2080,-5.198
RollerBallBrain,0.258,232.344,2.897,2080,-5.198
RollerBallBrain,0.284,236.012,3.177,2080,-5.198
RollerBallBrain,0.254,239.318,2.877,2080,-5.198
RollerBallBrain,0.260,242.780,3.012,2080,-5.198
RollerBallBrain,0.274,246.230,2.992,2091,-5.201
RollerBallBrain,0.257,249.667,2.977,2080,-5.201
RollerBallBrain,0.264,253.202,3.053,2111,-5.197
RollerBallBrain,0.253,256.561,2.904,2049,-5.197
RollerBallBrain,0.267,260.268,3.198,2049,-5.197
RollerBallBrain,0.241,263.652,2.919,2096,-5.203
RollerBallBrain,0.245,267.124,2.995,2056,-5.206
RollerBallBrain,0.257,270.620,3.002,2108,-5.207
RollerBallBrain,0.249,274.147,3.045,2091,-5.210
RollerBallBrain,0.249,277.532,2.894,2089,-5.217
RollerBallBrain,0.258,281.031,2.998,2168,-5.217
RollerBallBrain,0.260,284.557,3.046,2086,-5.219
RollerBallBrain,0.278,288.181,3.091,2104,-5.221
RollerBallBrain,0.259,291.818,3.153,2080,-5.221
RollerBallBrain,0.256,295.194,2.939,2080,-5.221
RollerBallBrain,0.301,298.641,2.963,2080,-5.221
RollerBallBrain,0.299,302.184,2.998,2106,-5.223
RollerBallBrain,0.266,305.605,2.915,2049,-5.222
RollerBallBrain,0.266,309.077,3.014,2080,-5.222
RollerBallBrain,0.261,312.491,2.944,2085,-5.220
RollerBallBrain,0.260,315.928,2.956,2085,-5.219
RollerBallBrain,0.279,319.429,3.002,2097,-5.218
RollerBallBrain,0.270,322.889,2.954,2095,-5.219
RollerBallBrain,0.244,326.360,3.009,2050,-5.228
RollerBallBrain,0.263,329.868,3.003,2092,-5.229
RollerBallBrain,0.238,333.121,2.805,2049,-5.230
RollerBallBrain,0.254,336.510,2.935,2069,-5.230
RollerBallBrain,0.240,339.989,2.993,2070,-5.231
RollerBallBrain,0.252,343.224,2.773,2058,-5.230
RollerBallBrain,0.244,346.700,2.982,2080,-5.230
RollerBallBrain,0.240,350.062,2.925,2065,-5.233
RollerBallBrain,0.263,353.280,2.775,2080,-5.233
RollerBallBrain,0.257,356.885,3.128,2087,-5.233
RollerBallBrain,0.250,360.083,2.774,2080,-5.233
RollerBallBrain,0.240,363.560,3.001,2056,-5.232
RollerBallBrain,0.256,366.893,2.879,2079,-5.229
RollerBallBrain,0.263,370.163,2.786,2080,-5.229
RollerBallBrain,0.260,373.672,3.009,2080,-5.229
RollerBallBrain,0.253,377.104,2.959,2078,-5.228
RollerBallBrain,0.261,380.616,2.977,2080,-5.228
