Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.268,6.279,5.051,2057,-6.374
RollerBallBrain,0.265,9.855,3.074,2071,-9.232
RollerBallBrain,0.235,13.412,3.088,2050,-16.910
RollerBallBrain,0.240,17.006,3.113,2065,-15.617
RollerBallBrain,0.260,20.893,3.379,2080,-16.441
RollerBallBrain,0.253,24.286,2.926,2064,-17.695
RollerBallBrain,0.244,27.967,3.202,2085,-22.754
RollerBallBrain,0.247,31.576,3.125,2073,-20.887
RollerBallBrain,0.233,35.374,3.309,2080,-18.220
RollerBallBrain,0.235,39.010,3.152,2073,-17.152
RollerBallBrain,0.243,42.838,3.341,2067,-15.030
RollerBallBrain,0.247,46.625,3.291,2143,-14.195
RollerBallBrain,0.244,50.344,3.221,2099,-14.491
RollerBallBrain,0.246,53.897,3.069,2069,-15.022
RollerBallBrain,0.272,57.675,3.248,2075,-17.009
RollerBallBrain,0.277,62.067,3.777,2055,-15.539
RollerBallBrain,0.306,65.976,3.321,2050,-14.925
RollerBallBrain,0.261,70.191,3.633,2103,-14.079
RollerBallBrain,0.271,74.214,3.481,2081,-13.710
RollerBallBrain,0.285,78.240,3.445,2051,-13.380
RollerBallBrain,0.333,83.066,4.103,2054,-13.086
RollerBallBrain,0.343,87.948,4.151,2058,-13.459
RollerBallBrain,0.329,92.432,3.804,2054,-13.594
RollerBallBrain,0.342,97.015,3.886,2160,-13.631
RollerBallBrain,0.351,101.582,3.850,2050,-13.220
RollerBallBrain,0.346,106.568,4.229,2057,-12.523
RollerBallBrain,0.333,110.960,3.719,2066,-12.499
RollerBallBrain,0.333,115.531,3.870,2070,-12.085
RollerBallBrain,0.337,120.236,3.992,2083,-11.638
RollerBallBrain,0.437,125.360,4.289,2108,-11.385
RollerBallBrain,0.409,129.960,3.826,2049,-11.168
RollerBallBrain,0.389,135.327,4.525,2063,-10.904
RollerBallBrain,0.344,140.373,4.280,2111,-10.594
RollerBallBrain,0.332,144.927,3.874,2091,-10.516
RollerBallBrain,0.256,149.429,3.905,2062,-10.084
RollerBallBrain,0.249,153.358,3.404,2054,-9.878
RollerBallBrain,0.240,157.177,3.323,2113,-9.693
RollerBallBrain,0.242,160.997,3.327,2070,-9.584
RollerBallBrain,0.240,164.632,3.134,2054,-9.525
RollerBallBrain,0.244,168.473,3.349,2084,-9.095
RollerBallBrain,0.260,172.130,3.156,2057,-9.152
RollerBallBrain,0.242,176.050,3.407,2052,-9.036
RollerBallBrain,0.252,179.876,3.319,2053,-8.943
RollerBallBrain,0.235,183.523,3.156,2078,-8.978
RollerBallBrain,0.244,187.368,3.354,2053,-8.919
RollerBallBrain,0.240,191.129,3.255,2049,-8.858
RollerBallBrain,0.233,194.651,3.043,2055,-8.817
RollerBallBrain,0.240,198.406,3.255,2090,-8.743
RollerBallBrain,0.237,202.227,3.327,2071,-8.698
RollerBallBrain,0.239,206.131,3.377,2073,-8.558
RollerBallBrain,0.238,209.757,3.127,2054,-8.488
RollerBallBrain,0.237,213.465,3.242,2052,-8.476
RollerBallBrain,0.237,217.232,3.265,2052,-8.378
RollerBallBrain,0.243,221.021,3.287,2100,-8.344
RollerBallBrain,0.236,224.707,3.196,2066,-8.300
RollerBallBrain,0.239,228.452,3.265,2052,-8.277
RollerBallBrain,0.243,232.499,3.512,2107,-8.217
RollerBallBrain,0.274,236.216,3.164,2066,-8.150
RollerBallBrain,0.240,240.016,3.280,2054,-8.110
RollerBallBrain,0.237,243.734,3.208,2051,-7.987
RollerBallBrain,0.293,248.098,3.791,2113,-7.872
RollerBallBrain,0.236,252.096,3.464,2052,-7.787
RollerBallBrain,0.246,255.845,3.227,2106,-7.715
RollerBallBrain,0.239,259.610,3.251,2052,-7.602
RollerBallBrain,0.238,263.354,3.261,2085,-7.580
RollerBallBrain,0.240,266.975,3.118,2061,-7.498
RollerBallBrain,0.244,270.786,3.295,2049,-7.419
RollerBallBrain,0.240,274.503,3.216,2076,-7.338
RollerBallBrain,0.242,278.301,3.272,2104,-7.277
RollerBallBrain,0.235,282.009,3.226,2073,-7.211
RollerBallBrain,0.240,285.789,3.280,2052,-7.137
RollerBallBrain,0.237,289.587,3.291,2064,-7.021
RollerBallBrain,0.235,293.152,3.091,2062,-6.922
RollerBallBrain,0.246,296.848,3.195,2066,-6.814
RollerBallBrain,0.238,300.585,3.227,2093,-6.695
RollerBallBrain,0.249,304.318,3.226,2062,-6.550
RollerBallBrain,0.250,307.860,3.071,2055,-6.541
RollerBallBrain,0.238,311.558,3.205,2076,-6.485
RollerBallBrain,0.237,315.218,3.167,2059,-6.333
RollerBallBrain,0.239,318.881,3.177,2062,-6.279
RollerBallBrain,0.238,322.521,3.156,2075,-6.145
RollerBallBrain,0.235,326.162,3.166,2081,-6.054
RollerBallBrain,0.257,330.032,3.344,2098,-5.878
RollerBallBrain,0.244,333.629,3.101,2079,-5.768
RollerBallBrain,0.250,337.307,3.157,2061,-5.648
