Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.437,6.993,5.021,2052,-5.718
RollerBallBrain,0.364,13.240,5.500,2106,-6.434
RollerBallBrain,0.317,17.862,3.953,2092,-8.094
RollerBallBrain,0.320,22.275,3.751,2054,-9.158
RollerBallBrain,0.318,26.746,3.792,2113,-9.365
RollerBallBrain,0.354,30.986,3.575,2049,-8.897
RollerBallBrain,0.302,35.338,3.712,2059,-9.026
RollerBallBrain,0.300,39.718,3.750,2049,-9.532
RollerBallBrain,0.338,43.976,3.606,2056,-9.508
RollerBallBrain,0.295,48.034,3.461,2063,-10.563
RollerBallBrain,0.337,52.457,3.769,2101,-10.893
RollerBallBrain,0.318,56.590,3.526,2054,-11.180
RollerBallBrain,0.330,60.814,3.579,2075,-12.820
RollerBallBrain,0.324,65.165,3.692,2058,-13.190
RollerBallBrain,0.319,69.763,3.922,2058,-12.975
RollerBallBrain,0.297,73.988,3.576,2084,-13.151
RollerBallBrain,0.334,78.268,3.678,2056,-13.071
RollerBallBrain,0.333,82.571,3.628,2060,-13.363
RollerBallBrain,0.322,86.713,3.521,2054,-13.898
RollerBallBrain,0.317,91.039,3.684,2055,-13.316
RollerBallBrain,0.299,95.591,3.885,2091,-13.137
RollerBallBrain,0.303,99.928,3.708,2107,-13.108
RollerBallBrain,0.296,104.334,3.752,2112,-13.137
RollerBallBrain,0.322,108.636,3.665,2059,-13.512
RollerBallBrain,0.356,113.295,3.934,2079,-13.112
RollerBallBrain,0.353,117.955,3.943,2113,-13.031
RollerBallBrain,0.422,122.288,3.601,2052,-13.156
RollerBallBrain,0.332,126.823,3.859,2108,-13.269
RollerBallBrain,0.297,131.044,3.615,2081,-13.405
RollerBallBrain,0.285,135.333,3.675,2051,-13.245
RollerBallBrain,0.294,139.876,3.882,2084,-12.977
RollerBallBrain,0.301,144.155,3.662,2052,-12.886
RollerBallBrain,0.335,148.561,3.737,2056,-12.601
RollerBallBrain,0.328,152.844,3.624,2053,-12.252
RollerBallBrain,0.291,157.115,3.633,2053,-12.375
RollerBallBrain,0.296,161.339,3.622,2083,-12.135
RollerBallBrain,0.311,165.821,3.818,2054,-12.019
RollerBallBrain,0.292,170.096,3.662,2059,-11.917
RollerBallBrain,0.327,174.354,3.618,2049,-11.790
RollerBallBrain,0.306,178.872,3.856,2118,-11.484
RollerBallBrain,0.290,183.258,3.769,2049,-11.219
RollerBallBrain,0.401,187.756,3.770,2052,-11.039
RollerBallBrain,0.293,192.050,3.663,2051,-10.880
RollerBallBrain,0.343,196.706,3.939,2050,-10.645
RollerBallBrain,0.300,201.166,3.811,2049,-10.435
RollerBallBrain,0.305,205.671,3.820,2051,-10.177
RollerBallBrain,0.358,210.219,3.850,2082,-9.973
RollerBallBrain,0.341,214.902,3.959,2052,-9.779
RollerBallBrain,0.296,219.400,3.852,2053,-9.584
RollerBallBrain,0.353,223.739,3.635,2058,-9.429
RollerBallBrain,0.317,228.254,3.827,2054,-9.265
RollerBallBrain,0.330,232.650,3.726,2061,-9.104
RollerBallBrain,0.290,237.035,3.752,2060,-8.967
RollerBallBrain,0.294,241.429,3.781,2053,-8.834
RollerBallBrain,0.301,245.810,3.740,2052,-8.706
RollerBallBrain,0.311,250.217,3.749,2054,-8.580
RollerBallBrain,0.311,254.666,3.761,2054,-8.479
RollerBallBrain,0.284,258.988,3.684,2050,-8.372
RollerBallBrain,0.286,263.498,3.885,2118,-8.287
RollerBallBrain,0.294,267.799,3.660,2050,-8.220
RollerBallBrain,0.304,272.065,3.623,2053,-8.139
RollerBallBrain,0.363,276.429,3.663,2054,-8.048
RollerBallBrain,0.314,280.742,3.634,2064,-7.963
RollerBallBrain,0.297,285.085,3.711,2057,-7.886
RollerBallBrain,0.297,289.370,3.623,2057,-7.808
RollerBallBrain,0.304,293.605,3.598,2058,-7.739
RollerBallBrain,0.313,298.050,3.787,2056,-7.675
RollerBallBrain,0.331,302.336,3.608,2054,-7.615
RollerBallBrain,0.371,306.678,3.631,2067,-7.555
RollerBallBrain,0.289,310.967,3.650,2053,-7.501
RollerBallBrain,0.295,315.241,3.624,2051,-7.449
RollerBallBrain,0.299,319.447,3.583,2079,-7.396
RollerBallBrain,0.301,323.672,3.587,2061,-7.358
RollerBallBrain,0.301,327.914,3.590,2052,-7.306
RollerBallBrain,0.317,332.192,3.616,2055,-7.255
RollerBallBrain,0.329,336.336,3.492,2049,-7.200
RollerBallBrain,0.326,340.802,3.771,2052,-7.148
RollerBallBrain,0.309,345.128,3.676,2054,-7.097
RollerBallBrain,0.290,349.119,3.404,2057,-7.047
RollerBallBrain,0.346,353.686,3.813,2051,-6.998
RollerBallBrain,0.245,357.797,3.557,2055,-6.951
RollerBallBrain,0.256,361.515,3.192,2062,-6.903
RollerBallBrain,0.232,365.241,3.230,2050,-6.858
RollerBallBrain,0.261,368.956,3.177,2071,-6.810
RollerBallBrain,0.346,372.979,3.386,2049,-6.767
RollerBallBrain,0.293,377.460,3.831,2050,-6.728
RollerBallBrain,0.329,382.064,3.898,2051,-6.687
RollerBallBrain,0.244,385.765,3.176,2054,-6.646
RollerBallBrain,0.338,390.006,3.574,2060,-6.602
RollerBallBrain,0.247,393.907,3.369,2056,-6.564
RollerBallBrain,0.304,397.856,3.364,2056,-6.523
RollerBallBrain,0.239,401.639,3.260,2054,-6.483
RollerBallBrain,0.301,405.898,3.612,2058,-6.444
RollerBallBrain,0.254,409.815,3.363,2058,-6.411
RollerBallBrain,0.259,413.806,3.431,2054,-6.374
RollerBallBrain,0.294,418.173,3.728,2068,-6.337
RollerBallBrain,0.336,422.609,3.754,2049,-6.301
RollerBallBrain,0.313,426.979,3.701,2062,-6.266
RollerBallBrain,0.309,431.464,3.808,2049,-6.232
RollerBallBrain,0.249,435.361,3.341,2061,-6.199
RollerBallBrain,0.247,439.423,3.484,2060,-6.166
RollerBallBrain,0.263,443.284,3.309,2059,-6.131
RollerBallBrain,0.246,447.075,3.285,2049,-6.100
RollerBallBrain,0.256,451.027,3.376,2058,-6.068
RollerBallBrain,0.255,454.898,3.301,2049,-6.037
RollerBallBrain,0.284,458.688,3.222,2050,-6.005
RollerBallBrain,0.274,462.688,3.423,2053,-5.978
RollerBallBrain,0.307,466.548,3.252,2051,-5.954
RollerBallBrain,0.275,470.546,3.431,2052,-5.932
RollerBallBrain,0.407,474.984,3.672,2068,-5.954
RollerBallBrain,0.308,479.509,3.863,2054,-5.925
RollerBallBrain,0.314,483.690,3.518,2049,-5.897
RollerBallBrain,0.392,488.378,3.739,2057,-5.869
RollerBallBrain,0.361,492.805,3.701,2053,-5.841
RollerBallBrain,0.313,497.389,3.906,2058,-5.815
RollerBallBrain,0.297,501.867,3.824,2054,-5.790
RollerBallBrain,0.365,506.578,3.930,2052,-5.764
RollerBallBrain,0.305,510.656,3.452,2051,-5.739
RollerBallBrain,0.301,514.506,3.256,2052,-5.716
RollerBallBrain,0.298,518.431,3.337,2053,-5.693
RollerBallBrain,0.268,522.267,3.301,2059,-5.671
RollerBallBrain,0.321,526.575,3.634,2052,-5.648
RollerBallBrain,0.314,530.524,3.343,2058,-5.626
RollerBallBrain,0.285,534.310,3.221,2063,-5.604
RollerBallBrain,0.242,538.138,3.310,2053,-5.583
RollerBallBrain,0.266,541.963,3.260,2050,-5.562
RollerBallBrain,0.236,545.795,3.321,2052,-5.543
RollerBallBrain,0.237,549.537,3.233,2058,-5.522
RollerBallBrain,0.239,553.384,3.325,2058,-5.502
RollerBallBrain,0.325,557.463,3.457,2055,-5.482
RollerBallBrain,0.315,561.951,3.807,2055,-5.463
RollerBallBrain,0.316,566.248,3.634,2053,-5.443
RollerBallBrain,0.426,570.672,3.656,2054,-5.424
RollerBallBrain,0.318,575.051,3.701,2058,-5.404
RollerBallBrain,0.362,579.466,3.682,2052,-5.386
RollerBallBrain,0.343,583.791,3.606,2056,-5.368
RollerBallBrain,0.349,588.217,3.719,2051,-5.349
RollerBallBrain,0.237,592.232,3.463,2053,-5.330
RollerBallBrain,0.251,596.029,3.286,2058,-5.312
RollerBallBrain,0.240,599.760,3.232,2064,-5.295
RollerBallBrain,0.313,603.604,3.260,2052,-5.278
RollerBallBrain,0.263,607.388,3.239,2055,-5.262
RollerBallBrain,0.271,611.064,3.130,2051,-5.246
RollerBallBrain,0.242,614.853,3.287,2056,-5.230
