Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.455,8.908,6.881,2054,-5.415
RollerBallBrain,0.280,13.300,3.752,2058,-5.373
RollerBallBrain,0.325,17.431,3.508,2060,-5.563
RollerBallBrain,0.309,21.930,3.814,2073,-5.693
RollerBallBrain,0.368,26.779,4.071,2062,-5.535
RollerBallBrain,0.373,31.666,4.117,2096,-5.479
RollerBallBrain,0.372,36.764,4.314,2059,-5.667
RollerBallBrain,0.382,41.440,3.910,2101,-5.389
RollerBallBrain,0.343,46.152,3.995,2050,-5.407
RollerBallBrain,0.439,51.066,4.113,2056,-5.417
RollerBallBrain,0.353,56.086,4.237,2057,-5.505
RollerBallBrain,0.416,60.961,4.071,2061,-5.559
RollerBallBrain,0.361,65.887,4.149,2053,-5.535
RollerBallBrain,0.368,70.662,3.998,2049,-5.490
RollerBallBrain,0.336,75.529,4.094,2059,-5.453
RollerBallBrain,0.358,80.267,3.993,2052,-5.437
RollerBallBrain,0.376,85.075,4.026,2050,-5.493
RollerBallBrain,0.357,89.268,3.522,2053,-5.504
RollerBallBrain,0.337,93.940,3.995,2049,-5.553
RollerBallBrain,0.440,99.430,4.590,2066,-5.525
RollerBallBrain,0.295,104.568,4.407,2080,-5.498
RollerBallBrain,0.266,108.550,3.419,2064,-5.529
RollerBallBrain,0.269,112.506,3.404,2049,-5.562
RollerBallBrain,0.275,116.182,3.161,2049,-5.554
RollerBallBrain,0.325,120.244,3.450,2108,-5.560
RollerBallBrain,0.267,124.217,3.418,2052,-5.613
RollerBallBrain,0.253,128.261,3.480,2052,-5.568
RollerBallBrain,0.264,132.122,3.325,2061,-5.506
RollerBallBrain,0.271,136.035,3.345,2059,-5.543
RollerBallBrain,0.265,139.934,3.357,2055,-5.558
RollerBallBrain,0.267,143.723,3.243,2079,-5.598
RollerBallBrain,0.263,147.671,3.411,2079,-5.544
RollerBallBrain,0.259,151.356,3.166,2070,-5.588
RollerBallBrain,0.254,155.244,3.352,2050,-5.523
RollerBallBrain,0.254,159.008,3.255,2053,-5.480
RollerBallBrain,0.263,162.817,3.277,2057,-5.451
