Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.195,5.083,3.974,1027,-5.049
RollerBallBrain,0.262,7.307,1.821,1029,-6.056
RollerBallBrain,0.169,9.532,1.885,1035,-6.356
RollerBallBrain,0.150,11.680,1.834,1054,-6.495
RollerBallBrain,0.193,13.813,1.785,1072,-6.585
RollerBallBrain,0.206,16.054,1.875,1025,-7.014
RollerBallBrain,0.202,18.215,1.812,1059,-6.952
RollerBallBrain,0.195,20.556,1.980,1062,-8.035
RollerBallBrain,0.199,22.923,1.970,1039,-8.026
RollerBallBrain,0.189,25.322,2.018,1029,-8.263
RollerBallBrain,0.194,27.492,1.793,1029,-8.347
RollerBallBrain,0.185,29.648,1.804,1057,-7.894
RollerBallBrain,0.213,32.015,1.980,1071,-7.664
RollerBallBrain,0.180,34.319,1.950,1052,-7.838
RollerBallBrain,0.184,36.341,1.685,1029,-7.831
RollerBallBrain,0.178,38.614,1.936,1030,-7.753
RollerBallBrain,0.194,40.778,1.806,1027,-7.691
RollerBallBrain,0.176,43.007,1.868,1039,-7.564
RollerBallBrain,0.180,45.188,1.819,1032,-7.438
RollerBallBrain,0.225,47.591,1.999,1025,-7.322
RollerBallBrain,0.173,49.832,1.889,1030,-7.193
RollerBallBrain,0.206,52.197,1.983,1029,-7.086
RollerBallBrain,0.195,54.445,1.886,1026,-7.020
RollerBallBrain,0.180,56.894,2.075,1084,-6.987
RollerBallBrain,0.183,59.062,1.819,1035,-7.012
RollerBallBrain,0.179,61.373,1.951,1070,-7.231
RollerBallBrain,0.174,63.571,1.830,1027,-7.136
RollerBallBrain,0.177,65.776,1.869,1027,-7.079
RollerBallBrain,0.196,68.012,1.876,1034,-7.025
RollerBallBrain,0.178,70.421,2.047,1031,-6.989
RollerBallBrain,0.188,72.749,1.951,1036,-7.005
RollerBallBrain,0.193,75.036,1.904,1030,-6.938
RollerBallBrain,0.181,77.329,1.923,1026,-6.886
RollerBallBrain,0.194,79.607,1.922,1082,-6.865
RollerBallBrain,0.182,81.805,1.855,1030,-6.563
RollerBallBrain,0.182,84.328,2.145,1033,-6.543
RollerBallBrain,0.177,86.714,2.026,1028,-6.507
RollerBallBrain,0.182,89.152,2.072,1064,-6.481
RollerBallBrain,0.158,91.186,1.734,1025,-6.496
RollerBallBrain,0.162,93.165,1.677,1034,-6.554
RollerBallBrain,0.185,95.317,1.809,1033,-6.557
RollerBallBrain,0.157,97.220,1.629,1026,-6.569
RollerBallBrain,0.141,99.201,1.692,1026,-6.545
RollerBallBrain,0.143,101.189,1.697,1025,-6.517
RollerBallBrain,0.140,103.142,1.684,1025,-6.512
RollerBallBrain,0.159,105.169,1.728,1037,-6.508
RollerBallBrain,0.173,107.160,1.680,1027,-6.499
RollerBallBrain,0.144,109.197,1.741,1034,-6.476
RollerBallBrain,0.147,111.231,1.728,1028,-6.473
RollerBallBrain,0.160,113.101,1.576,1035,-6.465
RollerBallBrain,0.160,115.169,1.760,1027,-6.445
RollerBallBrain,0.170,117.198,1.708,1025,-6.423
RollerBallBrain,0.148,119.236,1.748,1038,-6.396
RollerBallBrain,0.146,121.199,1.683,1025,-6.382
RollerBallBrain,0.145,123.204,1.705,1029,-6.366
RollerBallBrain,0.147,125.160,1.672,1034,-6.349
RollerBallBrain,0.162,127.192,1.717,1026,-6.334
RollerBallBrain,0.168,129.221,1.720,1032,-6.328
RollerBallBrain,0.152,131.320,1.794,1071,-6.322
RollerBallBrain,0.160,133.252,1.643,1030,-6.336
RollerBallBrain,0.153,135.289,1.740,1038,-6.317
RollerBallBrain,0.145,137.260,1.674,1027,-6.293
RollerBallBrain,0.145,139.262,1.729,1032,-6.292
RollerBallBrain,0.149,141.251,1.710,1028,-6.280
RollerBallBrain,0.145,143.211,1.665,1026,-6.274
RollerBallBrain,0.144,145.178,1.685,1026,-6.266
RollerBallBrain,0.143,147.185,1.716,1031,-6.252
RollerBallBrain,0.151,149.177,1.706,1063,-6.258
RollerBallBrain,0.152,151.209,1.743,1036,-6.247
RollerBallBrain,0.156,153.146,1.651,1030,-6.263
RollerBallBrain,0.146,155.110,1.663,1028,-6.251
RollerBallBrain,0.140,157.003,1.616,1033,-6.254
RollerBallBrain,0.147,158.987,1.699,1037,-6.240
RollerBallBrain,0.146,160.967,1.696,1027,-6.240
RollerBallBrain,0.186,162.929,1.635,1039,-6.241
RollerBallBrain,0.154,164.893,1.667,1035,-6.225
RollerBallBrain,0.161,166.870,1.682,1039,-6.209
RollerBallBrain,0.163,168.887,1.722,1041,-6.202
RollerBallBrain,0.164,170.868,1.678,1085,-6.217
RollerBallBrain,0.151,172.712,1.565,1025,-6.207
RollerBallBrain,0.146,174.673,1.679,1049,-6.199
RollerBallBrain,0.147,176.581,1.613,1029,-6.214
RollerBallBrain,0.148,178.592,1.705,1045,-6.210
RollerBallBrain,0.142,180.431,1.571,1026,-6.244
RollerBallBrain,0.143,182.362,1.652,1043,-6.235
RollerBallBrain,0.149,184.294,1.651,1036,-6.224
RollerBallBrain,0.151,186.202,1.626,1030,-6.212
RollerBallBrain,0.162,188.208,1.705,1026,-6.203
RollerBallBrain,0.146,190.212,1.725,1060,-6.192
RollerBallBrain,0.146,192.160,1.655,1033,-6.207
RollerBallBrain,0.155,194.167,1.696,1032,-6.196
RollerBallBrain,0.143,196.151,1.693,1026,-6.179
RollerBallBrain,0.143,198.163,1.726,1027,-6.170
RollerBallBrain,0.146,200.004,1.565,1025,-6.175
RollerBallBrain,0.143,201.952,1.675,1041,-6.161
RollerBallBrain,0.148,203.865,1.610,1044,-6.153
RollerBallBrain,0.148,205.785,1.649,1032,-6.141
RollerBallBrain,0.186,207.656,1.549,1032,-6.128
RollerBallBrain,0.174,209.642,1.676,1033,-6.115
RollerBallBrain,0.226,212.141,2.064,1031,-6.104
RollerBallBrain,0.183,214.520,2.007,1028,-6.093
RollerBallBrain,0.179,216.742,1.854,1033,-6.079
RollerBallBrain,0.149,218.643,1.614,1035,-6.064
RollerBallBrain,0.144,220.481,1.565,1036,-6.052
RollerBallBrain,0.149,222.373,1.607,1029,-6.036
RollerBallBrain,0.144,224.242,1.598,1040,-6.024
RollerBallBrain,0.148,226.099,1.582,1034,-6.010
RollerBallBrain,0.141,227.932,1.559,1029,-5.995
RollerBallBrain,0.142,229.821,1.605,1029,-5.982
RollerBallBrain,0.142,231.682,1.590,1033,-5.967
RollerBallBrain,0.146,233.524,1.567,1032,-5.953
RollerBallBrain,0.144,235.363,1.565,1037,-5.938
RollerBallBrain,0.149,237.245,1.613,1034,-5.925
RollerBallBrain,0.146,239.104,1.594,1056,-5.908
RollerBallBrain,0.146,240.987,1.604,1027,-5.894
RollerBallBrain,0.149,242.813,1.546,1028,-5.879
RollerBallBrain,0.144,244.690,1.599,1027,-5.867
RollerBallBrain,0.146,246.545,1.568,1033,-5.855
RollerBallBrain,0.148,248.411,1.592,1040,-5.847
RollerBallBrain,0.144,250.212,1.539,1028,-5.834
RollerBallBrain,0.144,252.069,1.590,1032,-5.820
RollerBallBrain,0.149,253.927,1.578,1052,-5.806
RollerBallBrain,0.148,255.810,1.607,1034,-5.791
