Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.295,5.385,3.864,1082,-5.441
RollerBallBrain,0.253,7.491,1.730,1041,-5.498
RollerBallBrain,0.246,9.614,1.765,1031,-5.545
RollerBallBrain,0.245,11.790,1.802,1029,-5.469
RollerBallBrain,0.244,13.897,1.745,1039,-5.520
RollerBallBrain,0.264,16.016,1.743,1043,-5.430
RollerBallBrain,0.248,18.108,1.727,1037,-5.383
RollerBallBrain,0.247,20.377,1.903,1085,-5.286
RollerBallBrain,0.247,22.614,1.868,1081,-5.283
RollerBallBrain,0.252,24.628,1.642,1031,-5.225
RollerBallBrain,0.248,26.637,1.655,1064,-5.098
RollerBallBrain,0.250,28.841,1.828,1055,-4.090
RollerBallBrain,0.246,30.837,1.636,1027,-4.142
RollerBallBrain,0.242,32.954,1.752,1049,-4.074
RollerBallBrain,0.246,35.056,1.741,1075,-4.243
RollerBallBrain,0.239,37.240,1.832,1079,-4.347
RollerBallBrain,0.259,39.311,1.697,1027,-4.568
RollerBallBrain,0.240,41.410,1.742,1025,-4.625
RollerBallBrain,0.270,43.372,1.591,1031,-4.525
RollerBallBrain,0.248,45.450,1.715,1044,-4.530
RollerBallBrain,0.246,47.691,1.871,1048,-4.625
RollerBallBrain,0.241,49.608,1.570,1045,-4.269
RollerBallBrain,0.259,51.930,1.939,1088,-4.259
RollerBallBrain,0.247,53.969,1.683,1054,-3.508
RollerBallBrain,0.244,56.083,1.748,1085,-3.444
RollerBallBrain,0.247,58.216,1.764,1036,-3.709
RollerBallBrain,0.241,60.181,1.612,1038,-3.672
RollerBallBrain,0.249,62.319,1.763,1046,-3.723
RollerBallBrain,0.241,64.205,1.544,1038,-3.720
RollerBallBrain,0.246,66.425,1.839,1077,-3.650
RollerBallBrain,0.245,68.390,1.616,1032,-3.638
RollerBallBrain,0.254,70.496,1.726,1031,-3.488
RollerBallBrain,0.241,72.544,1.697,1044,-3.392
RollerBallBrain,0.269,74.547,1.624,1044,-3.555
RollerBallBrain,0.242,76.626,1.727,1026,-3.633
RollerBallBrain,0.243,78.692,1.701,1087,-3.708
RollerBallBrain,0.249,80.822,1.751,1031,-3.724
RollerBallBrain,0.242,82.904,1.713,1040,-3.738
RollerBallBrain,0.252,84.995,1.729,1057,-3.806
