Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.275,7.161,5.885,2050,-5.485
RollerBallBrain,0.246,10.833,3.161,2056,-5.534
RollerBallBrain,0.258,14.442,3.071,2052,-5.570
RollerBallBrain,0.247,18.093,3.133,2052,-5.631
RollerBallBrain,0.243,21.822,3.196,2056,-5.697
RollerBallBrain,0.247,25.458,3.148,2068,-5.663
RollerBallBrain,0.244,29.044,3.091,2060,-5.707
RollerBallBrain,0.270,32.625,3.050,2070,-5.765
RollerBallBrain,0.252,36.234,3.101,2058,-5.805
RollerBallBrain,0.252,39.837,3.078,2075,-5.816
RollerBallBrain,0.245,43.334,3.008,2053,-5.856
RollerBallBrain,0.243,46.922,3.079,2066,-5.887
RollerBallBrain,0.245,50.489,3.069,2049,-5.911
RollerBallBrain,0.238,54.032,3.052,2052,-5.928
RollerBallBrain,0.243,57.620,3.106,2071,-5.987
RollerBallBrain,0.246,61.192,3.058,2055,-6.000
RollerBallBrain,0.238,64.769,3.062,2049,-6.025
RollerBallBrain,0.251,68.230,2.959,2070,-6.045
RollerBallBrain,0.255,71.777,3.035,2083,-6.067
RollerBallBrain,0.250,75.453,3.149,2070,-6.082
RollerBallBrain,0.246,78.909,2.956,2068,-6.121
RollerBallBrain,0.252,82.524,3.119,2063,-6.156
RollerBallBrain,0.242,86.064,3.045,2054,-6.186
RollerBallBrain,0.250,89.682,3.121,2083,-6.204
RollerBallBrain,0.255,93.246,3.069,2065,-6.238
RollerBallBrain,0.249,96.795,3.042,2084,-6.262
RollerBallBrain,0.248,100.355,3.070,2087,-6.297
RollerBallBrain,0.234,103.862,3.018,2054,-6.316
RollerBallBrain,0.245,107.532,3.160,2093,-6.335
RollerBallBrain,0.236,110.886,2.865,2050,-6.359
RollerBallBrain,0.238,114.502,3.121,2084,-6.386
RollerBallBrain,0.255,117.949,2.943,2078,-6.402
RollerBallBrain,0.248,121.613,3.146,2073,-6.428
RollerBallBrain,0.238,125.037,2.951,2060,-6.441
RollerBallBrain,0.241,128.583,3.052,2053,-6.457
RollerBallBrain,0.234,132.066,3.014,2049,-6.473
RollerBallBrain,0.238,135.623,3.064,2050,-6.488
RollerBallBrain,0.234,139.117,3.004,2056,-6.488
RollerBallBrain,0.257,142.802,3.155,2091,-6.498
RollerBallBrain,0.246,146.389,3.088,2073,-6.516
RollerBallBrain,0.239,149.821,2.963,2076,-6.526
RollerBallBrain,0.235,153.391,3.076,2083,-6.526
RollerBallBrain,0.240,156.995,3.093,2090,-6.529
RollerBallBrain,0.246,160.487,2.983,2099,-6.548
RollerBallBrain,0.242,163.980,3.004,2076,-6.565
RollerBallBrain,0.244,167.643,3.170,2082,-6.581
RollerBallBrain,0.240,171.254,3.112,2104,-6.598
RollerBallBrain,0.259,174.865,3.098,2084,-6.598
RollerBallBrain,0.243,178.404,3.053,2050,-6.610
RollerBallBrain,0.237,181.907,3.017,2053,-6.622
RollerBallBrain,0.247,185.354,2.947,2073,-6.635
RollerBallBrain,0.239,188.904,3.064,2129,-6.648
RollerBallBrain,0.241,192.279,2.878,2066,-6.665
RollerBallBrain,0.238,195.785,3.017,2081,-6.680
RollerBallBrain,0.245,199.345,3.051,2071,-6.694
RollerBallBrain,0.240,202.710,2.880,2061,-6.708
RollerBallBrain,0.249,206.183,2.988,2067,-6.742
RollerBallBrain,0.262,209.739,3.053,2104,-6.770
RollerBallBrain,0.241,213.105,2.883,2067,-6.806
RollerBallBrain,0.247,216.487,2.892,2066,-6.824
RollerBallBrain,0.245,219.969,3.002,2108,-6.854
RollerBallBrain,0.275,223.450,2.949,2054,-6.873
RollerBallBrain,0.237,226.957,3.040,2105,-6.900
RollerBallBrain,0.241,230.420,2.968,2078,-6.918
RollerBallBrain,0.246,233.738,2.832,2090,-6.942
RollerBallBrain,0.249,237.320,3.072,2080,-6.960
RollerBallBrain,0.239,240.733,2.923,2086,-6.991
RollerBallBrain,0.242,244.228,3.009,2097,-7.006
RollerBallBrain,0.262,247.527,2.797,2060,-7.023
RollerBallBrain,0.256,251.108,3.078,2096,-7.049
RollerBallBrain,0.253,254.512,2.903,2064,-7.076
RollerBallBrain,0.254,258.089,3.062,2094,-7.096
RollerBallBrain,0.250,261.692,3.112,2091,-7.114
RollerBallBrain,0.250,265.124,2.946,2076,-7.133
RollerBallBrain,0.249,268.604,2.981,2072,-7.147
RollerBallBrain,0.243,272.166,3.069,2094,-7.180
RollerBallBrain,0.266,275.572,2.884,2091,-7.202
RollerBallBrain,0.244,278.993,2.926,2067,-7.216
RollerBallBrain,0.247,282.492,3.007,2065,-7.240
RollerBallBrain,0.243,285.825,2.861,2053,-7.254
RollerBallBrain,0.248,289.296,2.993,2062,-7.283
RollerBallBrain,0.243,292.812,3.022,2100,-7.298
RollerBallBrain,0.239,296.127,2.845,2067,-7.310
RollerBallBrain,0.250,299.550,2.946,2088,-7.324
RollerBallBrain,0.249,302.904,2.873,2067,-7.341
RollerBallBrain,0.243,306.494,3.087,2083,-7.351
RollerBallBrain,0.240,309.931,2.948,2098,-7.366
RollerBallBrain,0.248,313.399,2.978,2108,-7.385
RollerBallBrain,0.253,316.917,3.003,2083,-7.395
RollerBallBrain,0.266,320.313,2.896,2070,-7.411
RollerBallBrain,0.251,323.793,2.973,2069,-7.422
RollerBallBrain,0.251,327.194,2.909,2100,-7.441
RollerBallBrain,0.265,330.683,2.967,2072,-7.450
RollerBallBrain,0.252,334.128,2.945,2068,-7.471
RollerBallBrain,0.254,337.541,2.901,2067,-7.486
RollerBallBrain,0.263,340.993,2.954,2107,-7.502
RollerBallBrain,0.249,344.579,3.086,2107,-7.523
RollerBallBrain,0.241,347.950,2.896,2054,-7.540
RollerBallBrain,0.277,351.555,3.071,2068,-7.555
RollerBallBrain,0.252,354.964,2.918,2103,-7.573
RollerBallBrain,0.264,358.547,3.068,2082,-7.589
RollerBallBrain,0.243,362.076,3.035,2108,-7.610
RollerBallBrain,0.252,365.592,3.012,2066,-7.636
RollerBallBrain,0.245,369.029,2.942,2070,-7.653
RollerBallBrain,0.248,372.416,2.894,2110,-7.667
