Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.271,5.658,4.416,2055,-5.268
RollerBallBrain,0.237,9.639,3.505,2049,-5.995
RollerBallBrain,0.241,13.689,3.525,2053,-6.012
RollerBallBrain,0.231,17.633,3.439,2054,-5.994
RollerBallBrain,0.239,21.727,3.581,2060,-5.927
RollerBallBrain,0.241,25.682,3.462,2082,-6.082
RollerBallBrain,0.239,29.647,3.496,2056,-6.254
RollerBallBrain,0.242,33.799,3.647,2061,-6.336
RollerBallBrain,0.242,37.765,3.467,2065,-6.372
RollerBallBrain,0.234,41.836,3.589,2114,-6.424
RollerBallBrain,0.248,45.929,3.585,2093,-6.455
RollerBallBrain,0.236,49.722,3.310,2060,-6.589
RollerBallBrain,0.241,53.661,3.423,2051,-6.559
RollerBallBrain,0.243,57.453,3.299,2056,-6.578
RollerBallBrain,0.239,61.449,3.506,2078,-6.544
RollerBallBrain,0.234,65.498,3.557,2056,-6.482
RollerBallBrain,0.237,69.416,3.433,2083,-6.523
RollerBallBrain,0.238,73.463,3.572,2062,-6.533
RollerBallBrain,0.240,77.369,3.422,2087,-6.516
RollerBallBrain,0.247,81.271,3.405,2070,-6.575
RollerBallBrain,0.233,85.273,3.524,2052,-6.547
RollerBallBrain,0.239,89.293,3.515,2075,-6.535
RollerBallBrain,0.238,93.301,3.509,2077,-6.544
RollerBallBrain,0.242,97.170,3.355,2052,-6.473
RollerBallBrain,0.233,101.289,3.624,2057,-6.443
RollerBallBrain,0.245,105.228,3.444,2129,-6.453
RollerBallBrain,0.237,109.303,3.581,2051,-6.505
RollerBallBrain,0.234,113.267,3.491,2063,-6.445
RollerBallBrain,0.237,117.250,3.489,2097,-6.446
RollerBallBrain,0.245,121.131,3.396,2060,-6.413
RollerBallBrain,0.240,125.149,3.533,2073,-6.453
RollerBallBrain,0.246,129.176,3.531,2082,-6.437
RollerBallBrain,0.241,133.023,3.361,2106,-6.472
RollerBallBrain,0.240,137.050,3.517,2079,-6.462
RollerBallBrain,0.236,141.008,3.467,2084,-6.321
RollerBallBrain,0.242,145.150,3.643,2081,-6.288
RollerBallBrain,0.241,149.004,3.376,2049,-6.144
RollerBallBrain,0.242,152.851,3.356,2055,-6.127
RollerBallBrain,0.239,156.781,3.441,2061,-6.106
RollerBallBrain,0.240,160.708,3.445,2086,-6.089
RollerBallBrain,0.249,167.503,6.265,2056,-6.081
RollerBallBrain,0.243,171.107,3.120,2052,-6.078
RollerBallBrain,0.237,174.618,3.030,2070,-5.995
RollerBallBrain,0.250,178.337,3.207,2091,-5.954
RollerBallBrain,0.241,181.869,3.042,2091,-5.967
RollerBallBrain,0.241,185.392,3.044,2088,-5.981
RollerBallBrain,0.239,189.071,3.188,2075,-5.948
RollerBallBrain,0.234,192.694,3.136,2064,-5.920
RollerBallBrain,0.234,196.191,3.006,2092,-5.874
RollerBallBrain,0.235,200.049,3.350,2110,-5.894
RollerBallBrain,0.240,203.390,2.852,2087,-5.856
RollerBallBrain,0.232,207.115,3.246,2079,-5.807
RollerBallBrain,0.232,210.603,3.025,2054,-5.743
RollerBallBrain,0.247,214.213,3.094,2105,-5.697
RollerBallBrain,0.235,217.774,3.083,2056,-5.685
RollerBallBrain,0.236,221.388,3.120,2059,-5.556
RollerBallBrain,0.239,225.060,3.183,2104,-5.535
RollerBallBrain,0.237,228.381,2.848,2059,-5.539
RollerBallBrain,0.249,232.211,3.313,2093,-5.529
RollerBallBrain,0.235,235.892,3.193,2107,-5.526
RollerBallBrain,0.236,239.383,3.029,2058,-5.512
RollerBallBrain,0.235,242.920,3.083,2073,-5.299
RollerBallBrain,0.238,246.508,3.077,2053,-5.182
RollerBallBrain,0.234,249.995,3.001,2077,-5.118
RollerBallBrain,0.235,253.660,3.185,2068,-5.096
RollerBallBrain,0.251,257.381,3.225,2056,-5.057
RollerBallBrain,0.241,261.009,3.120,2053,-5.065
RollerBallBrain,0.240,264.366,2.891,2066,-5.054
RollerBallBrain,0.237,267.986,3.142,2102,-5.047
RollerBallBrain,0.244,271.656,3.171,2062,-5.023
RollerBallBrain,0.238,275.131,2.987,2053,-4.992
RollerBallBrain,0.242,278.736,3.101,2069,-4.972
RollerBallBrain,0.250,282.303,3.072,2089,-4.972
RollerBallBrain,0.241,285.882,3.098,2052,-4.841
RollerBallBrain,0.234,289.335,2.950,2060,-4.825
RollerBallBrain,0.268,292.987,3.120,2110,-4.665
RollerBallBrain,0.241,296.586,3.107,2056,-4.598
RollerBallBrain,0.245,300.219,3.149,2098,-4.491
RollerBallBrain,0.245,303.739,3.038,2071,-4.494
RollerBallBrain,0.247,307.426,3.206,2106,-4.458
RollerBallBrain,0.249,310.877,2.961,2055,-4.370
RollerBallBrain,0.236,314.342,3.009,2065,-4.276
RollerBallBrain,0.251,317.999,3.167,2109,-4.100
RollerBallBrain,0.242,321.829,3.345,2087,-4.050
RollerBallBrain,0.239,325.327,3.034,2062,-3.966
RollerBallBrain,0.240,328.968,3.150,2105,-3.900
RollerBallBrain,0.326,332.506,2.974,2065,-3.830
RollerBallBrain,0.237,336.156,3.158,2059,-3.672
RollerBallBrain,0.240,339.920,3.278,2113,-3.543
RollerBallBrain,0.243,343.313,2.919,2078,-3.520
RollerBallBrain,0.239,346.922,3.106,2069,-3.381
RollerBallBrain,0.242,350.341,2.946,2052,-2.994
RollerBallBrain,0.246,353.962,3.099,2064,-2.661
RollerBallBrain,0.249,357.457,3.016,2089,-2.354
RollerBallBrain,0.236,361.201,3.264,2098,-2.193
RollerBallBrain,0.243,364.636,2.967,2080,-2.001
RollerBallBrain,0.246,368.287,3.167,2100,-1.527
RollerBallBrain,0.252,372.002,3.198,2086,-1.548
RollerBallBrain,0.239,375.413,2.940,2097,-0.516
RollerBallBrain,0.240,378.966,3.063,2060,-0.462
RollerBallBrain,0.257,382.617,3.163,2088,-0.426
RollerBallBrain,0.238,386.070,2.987,2068,0.407
RollerBallBrain,0.246,389.770,3.195,2080,0.655
RollerBallBrain,0.241,393.280,3.055,2113,0.963
RollerBallBrain,0.245,396.826,3.050,2063,1.007
RollerBallBrain,0.243,400.336,3.053,2064,1.697
RollerBallBrain,0.249,404.167,3.324,2079,1.690
RollerBallBrain,0.239,407.687,3.038,2049,2.316
RollerBallBrain,0.245,411.541,3.372,2065,2.909
RollerBallBrain,0.237,415.151,3.130,2105,3.015
RollerBallBrain,0.257,418.956,3.287,2073,3.143
RollerBallBrain,0.260,423.414,3.930,2075,3.146
RollerBallBrain,0.264,427.343,3.445,2072,3.253
RollerBallBrain,0.260,431.151,3.348,2061,3.238
RollerBallBrain,0.270,435.414,3.727,2110,3.223
RollerBallBrain,0.329,439.353,3.420,2093,3.251
RollerBallBrain,0.269,443.654,3.758,2092,3.247
RollerBallBrain,0.310,447.485,3.179,2112,4.065
RollerBallBrain,0.334,451.273,3.209,2077,4.098
RollerBallBrain,0.256,455.009,3.248,2085,4.286
RollerBallBrain,0.237,458.659,3.172,2106,5.605
RollerBallBrain,0.281,462.514,3.330,2080,5.605
RollerBallBrain,0.311,466.148,3.130,2080,5.605
RollerBallBrain,0.256,470.316,3.727,2080,5.605
RollerBallBrain,0.271,473.978,3.210,2080,5.605
RollerBallBrain,0.273,477.534,3.095,2080,5.605
RollerBallBrain,0.274,481.424,3.435,2080,5.605
RollerBallBrain,0.269,484.951,3.086,2080,5.605
RollerBallBrain,0.262,488.726,3.329,2080,5.605
RollerBallBrain,0.282,492.322,3.128,2080,5.605
RollerBallBrain,0.271,495.943,3.123,2067,7.072
