Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.513,6.473,4.806,2062,-5.448
RollerBallBrain,0.341,12.429,5.240,2064,-10.340
RollerBallBrain,0.302,16.936,3.839,2084,-8.726
RollerBallBrain,0.330,21.234,3.665,2054,-8.517
RollerBallBrain,0.340,25.394,3.515,2053,-11.522
RollerBallBrain,0.369,30.297,4.174,2111,-15.665
RollerBallBrain,0.282,34.757,3.862,2068,-15.748
RollerBallBrain,0.307,38.905,3.537,2071,-19.221
RollerBallBrain,0.239,42.956,3.502,2061,-21.000
RollerBallBrain,0.264,46.613,3.140,2058,-20.570
RollerBallBrain,0.347,50.980,3.714,2086,-21.358
RollerBallBrain,0.335,55.115,3.525,2065,-20.580
RollerBallBrain,0.430,60.438,4.474,2077,-21.628
RollerBallBrain,0.410,65.686,4.424,2050,-21.450
RollerBallBrain,0.399,70.897,4.422,2107,-20.849
RollerBallBrain,0.363,76.011,4.348,2096,-20.792
RollerBallBrain,0.331,80.719,4.016,2095,-21.186
RollerBallBrain,0.333,85.165,3.765,2062,-20.709
RollerBallBrain,0.369,89.703,3.814,2064,-20.154
RollerBallBrain,0.384,94.056,3.646,2055,-20.881
RollerBallBrain,0.328,98.815,4.045,2053,-20.687
RollerBallBrain,0.350,103.312,3.810,2054,-23.685
RollerBallBrain,0.353,107.888,3.882,2109,-23.556
RollerBallBrain,0.332,112.348,3.776,2054,-24.963
RollerBallBrain,0.380,117.105,4.014,2049,-24.963
RollerBallBrain,0.260,121.442,3.767,2080,-23.751
RollerBallBrain,0.246,125.449,3.486,2057,-22.838
RollerBallBrain,0.383,129.747,3.611,2061,-23.619
RollerBallBrain,0.382,134.755,4.214,2100,-22.980
RollerBallBrain,0.407,139.910,4.330,2058,-22.611
RollerBallBrain,0.248,144.255,3.759,2055,-21.248
RollerBallBrain,0.244,148.153,3.378,2095,-20.188
RollerBallBrain,0.235,151.927,3.258,2054,-19.072
RollerBallBrain,0.240,155.999,3.538,2055,-18.366
RollerBallBrain,0.264,160.004,3.461,2063,-17.460
RollerBallBrain,0.450,164.350,3.585,2052,-16.686
RollerBallBrain,0.321,169.515,4.403,2054,-15.993
RollerBallBrain,0.417,174.643,4.324,2049,-15.395
RollerBallBrain,0.386,179.206,3.798,2055,-14.871
RollerBallBrain,0.286,183.725,3.890,2051,-14.374
RollerBallBrain,0.251,187.846,3.562,2053,-13.954
RollerBallBrain,0.369,192.156,3.636,2051,-13.552
RollerBallBrain,0.399,197.117,4.193,2050,-13.191
RollerBallBrain,0.236,201.372,3.689,2069,-12.857
RollerBallBrain,0.250,205.300,3.408,2051,-12.541
RollerBallBrain,0.280,209.284,3.410,2049,-12.262
RollerBallBrain,0.241,213.159,3.354,2050,-12.029
RollerBallBrain,0.269,217.079,3.362,2056,-11.787
RollerBallBrain,0.240,220.883,3.287,2061,-11.560
RollerBallBrain,0.235,224.607,3.216,2055,-11.347
RollerBallBrain,0.234,228.391,3.281,2056,-11.151
RollerBallBrain,0.242,232.119,3.217,2050,-10.972
RollerBallBrain,0.238,235.892,3.253,2049,-10.821
RollerBallBrain,0.235,239.536,3.135,2049,-10.691
RollerBallBrain,0.240,243.256,3.220,2050,-10.550
RollerBallBrain,0.248,247.104,3.336,2052,-10.420
RollerBallBrain,0.235,250.696,3.098,2055,-10.304
RollerBallBrain,0.230,254.389,3.192,2057,-10.180
RollerBallBrain,0.233,258.110,3.196,2054,-10.069
RollerBallBrain,0.231,261.793,3.175,2055,-9.953
RollerBallBrain,0.232,265.451,3.165,2054,-9.841
RollerBallBrain,0.228,269.092,3.175,2060,-9.737
RollerBallBrain,0.237,272.828,3.228,2057,-9.638
RollerBallBrain,0.240,276.475,3.158,2050,-9.542
RollerBallBrain,0.231,280.122,3.144,2064,-9.446
RollerBallBrain,0.229,283.761,3.165,2056,-9.358
RollerBallBrain,0.272,287.590,3.282,2052,-9.271
RollerBallBrain,0.231,291.237,3.155,2057,-9.188
RollerBallBrain,0.235,294.896,3.181,2057,-9.105
RollerBallBrain,0.236,298.681,3.264,2059,-9.026
RollerBallBrain,0.233,302.371,3.201,2051,-8.945
RollerBallBrain,0.235,305.997,3.128,2051,-8.874
RollerBallBrain,0.234,309.639,3.150,2055,-8.798
RollerBallBrain,0.237,313.239,3.117,2056,-8.725
RollerBallBrain,0.240,316.852,3.113,2051,-8.656
RollerBallBrain,0.234,320.634,3.276,2061,-8.586
RollerBallBrain,0.244,324.405,3.259,2054,-8.542
