Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.475,10.713,8.967,2061,-5.279
RollerBallBrain,0.401,15.028,3.681,2080,-5.124
RollerBallBrain,0.425,19.383,3.693,2061,-5.246
RollerBallBrain,0.412,23.661,3.618,2095,-4.933
RollerBallBrain,0.404,28.106,3.779,2065,-5.111
RollerBallBrain,0.412,32.243,3.483,2069,-5.221
RollerBallBrain,0.435,37.221,4.308,2091,-5.042
RollerBallBrain,0.433,41.824,3.924,2077,-5.118
RollerBallBrain,0.401,46.576,4.113,2058,-5.223
RollerBallBrain,0.409,51.105,3.882,2053,-5.098
RollerBallBrain,0.424,55.678,3.923,2058,-5.181
RollerBallBrain,0.526,60.494,4.039,2055,-5.271
RollerBallBrain,0.496,65.037,3.803,2059,-5.373
RollerBallBrain,0.381,69.756,4.076,2108,-5.496
RollerBallBrain,0.410,74.165,3.774,2050,-5.462
RollerBallBrain,0.391,78.683,3.886,2057,-5.514
RollerBallBrain,0.516,83.304,3.868,2062,-5.540
RollerBallBrain,0.415,88.011,4.025,2060,-5.471
RollerBallBrain,0.406,92.470,3.831,2053,-5.411
RollerBallBrain,0.445,97.113,3.954,2089,-5.338
RollerBallBrain,0.415,101.621,3.862,2078,-5.169
RollerBallBrain,0.418,106.133,3.847,2091,-4.905
RollerBallBrain,0.388,110.620,3.863,2100,-4.750
RollerBallBrain,0.401,115.193,3.932,2094,-4.631
RollerBallBrain,0.381,119.893,4.068,2087,-4.491
RollerBallBrain,0.396,124.309,3.785,2062,-4.464
RollerBallBrain,0.445,128.983,3.972,2079,-4.331
RollerBallBrain,0.389,133.471,3.856,2055,-4.177
RollerBallBrain,0.391,138.018,3.921,2083,-3.975
RollerBallBrain,0.447,142.532,3.825,2108,-3.693
RollerBallBrain,0.410,147.104,3.927,2079,-3.437
RollerBallBrain,0.457,151.814,4.030,2073,-3.160
RollerBallBrain,0.401,156.330,3.868,2050,-2.814
RollerBallBrain,0.393,160.625,3.679,2102,-2.730
RollerBallBrain,0.424,165.069,3.790,2072,-2.461
RollerBallBrain,0.410,169.490,3.775,2074,-2.274
RollerBallBrain,0.462,173.919,3.725,2055,-2.283
RollerBallBrain,0.400,178.643,4.082,2058,-2.181
RollerBallBrain,0.419,183.009,3.720,2069,-2.069
RollerBallBrain,0.403,187.498,3.854,2056,-1.839
RollerBallBrain,0.470,191.953,3.763,2085,-1.701
RollerBallBrain,0.393,196.334,3.768,2076,-1.519
RollerBallBrain,0.427,201.045,4.044,2106,-1.212
RollerBallBrain,0.492,205.408,3.633,2109,-0.977
RollerBallBrain,0.473,209.917,3.802,2063,-0.580
RollerBallBrain,0.459,214.228,3.632,2067,-0.281
RollerBallBrain,0.390,218.783,3.919,2069,0.040
RollerBallBrain,0.417,223.000,3.579,2051,0.284
RollerBallBrain,0.399,227.539,3.913,2109,0.510
RollerBallBrain,0.446,232.102,3.868,2052,0.580
RollerBallBrain,0.424,236.330,3.595,2050,0.978
RollerBallBrain,0.402,240.841,3.884,2094,1.480
RollerBallBrain,0.409,245.231,3.767,2108,1.656
RollerBallBrain,0.389,249.709,3.861,2064,1.857
RollerBallBrain,0.459,254.245,3.839,2112,2.044
RollerBallBrain,0.468,258.750,3.811,2061,2.402
RollerBallBrain,0.426,263.097,3.684,2062,2.748
RollerBallBrain,0.400,267.828,4.102,2076,3.042
RollerBallBrain,0.452,272.318,3.802,2062,3.078
RollerBallBrain,0.420,276.724,3.766,2082,3.166
RollerBallBrain,0.402,281.206,3.837,2094,3.407
RollerBallBrain,0.397,285.649,3.806,2071,3.609
RollerBallBrain,0.388,290.155,3.876,2071,3.954
RollerBallBrain,0.391,294.452,3.679,2084,4.433
RollerBallBrain,0.385,299.078,3.986,2112,4.545
RollerBallBrain,0.395,303.410,3.703,2051,4.805
RollerBallBrain,0.395,307.723,3.699,2062,5.072
RollerBallBrain,0.412,312.061,3.690,2069,5.478
RollerBallBrain,0.394,316.757,4.040,2071,5.568
RollerBallBrain,0.399,320.988,3.624,2081,5.847
RollerBallBrain,0.437,325.454,3.797,2049,6.176
RollerBallBrain,0.397,329.925,3.831,2082,6.462
RollerBallBrain,0.406,334.378,3.808,2061,6.510
RollerBallBrain,0.410,338.806,3.803,2061,6.817
RollerBallBrain,0.406,343.112,3.687,2085,7.312
RollerBallBrain,0.405,347.573,3.823,2080,7.498
RollerBallBrain,0.415,352.229,3.998,2078,7.670
RollerBallBrain,0.389,356.611,3.750,2068,8.090
RollerBallBrain,0.408,361.121,3.862,2105,8.457
RollerBallBrain,0.448,365.624,3.807,2085,8.893
RollerBallBrain,0.395,370.243,3.988,2112,9.322
RollerBallBrain,0.425,374.769,3.862,2054,9.633
RollerBallBrain,0.405,379.142,3.756,2064,10.090
RollerBallBrain,0.426,383.508,3.733,2073,10.381
RollerBallBrain,0.406,388.110,3.952,2081,10.798
RollerBallBrain,0.420,392.665,3.889,2110,11.172
RollerBallBrain,0.423,397.128,3.806,2085,11.744
RollerBallBrain,0.423,401.562,3.789,2082,12.099
RollerBallBrain,0.402,405.982,3.783,2086,12.399
RollerBallBrain,0.399,410.439,3.823,2102,12.457
RollerBallBrain,0.383,414.934,3.865,2092,12.952
RollerBallBrain,0.387,419.394,3.815,2071,13.068
RollerBallBrain,0.405,423.747,3.716,2056,13.424
RollerBallBrain,0.402,427.941,3.572,2082,13.508
RollerBallBrain,0.421,432.597,3.979,2084,13.606
RollerBallBrain,0.433,437.060,3.794,2077,13.631
RollerBallBrain,0.404,441.512,3.821,2068,14.244
RollerBallBrain,0.429,445.776,3.609,2085,14.657
RollerBallBrain,0.409,450.466,4.042,2065,15.008
RollerBallBrain,0.436,454.924,3.803,2103,15.506
RollerBallBrain,0.425,459.509,3.925,2076,15.672
RollerBallBrain,0.426,463.959,3.794,2090,15.937
RollerBallBrain,0.426,468.277,3.672,2076,17.158
RollerBallBrain,0.402,472.694,3.777,2052,17.314
RollerBallBrain,0.419,477.136,3.788,2094,17.682
RollerBallBrain,0.411,481.490,3.729,2087,18.152
RollerBallBrain,0.394,485.991,3.895,2073,18.497
RollerBallBrain,0.374,490.215,3.622,2088,18.601
RollerBallBrain,0.407,494.519,3.660,2055,18.857
RollerBallBrain,0.396,498.803,3.672,2053,19.222
RollerBallBrain,0.440,503.314,3.840,2087,19.583
RollerBallBrain,0.399,507.650,3.709,2052,19.860
RollerBallBrain,0.436,512.008,3.701,2049,20.349
RollerBallBrain,0.424,516.565,3.898,2108,20.525
RollerBallBrain,0.397,520.978,3.775,2084,20.879
RollerBallBrain,0.419,525.421,3.789,2102,21.352
RollerBallBrain,0.441,529.751,3.666,2074,21.673
RollerBallBrain,0.432,534.196,3.784,2105,22.525
RollerBallBrain,0.436,538.945,3.881,2101,23.362
RollerBallBrain,0.404,543.528,3.942,2084,23.544
RollerBallBrain,0.400,548.110,3.972,2065,24.009
RollerBallBrain,0.384,552.520,3.806,2050,25.327
RollerBallBrain,0.391,556.785,3.654,2082,25.712
RollerBallBrain,0.393,561.303,3.883,2093,26.047
RollerBallBrain,0.442,565.668,3.701,2085,26.500
RollerBallBrain,0.418,570.197,3.883,2068,26.812
RollerBallBrain,0.395,574.354,3.524,2066,27.189
RollerBallBrain,0.422,578.632,3.647,2111,27.578
RollerBallBrain,0.414,583.332,4.048,2098,27.907
RollerBallBrain,0.393,587.684,3.743,2090,28.209
RollerBallBrain,0.396,591.898,3.586,2054,28.409
RollerBallBrain,0.403,596.160,3.640,2085,28.629
RollerBallBrain,0.410,600.511,3.708,2060,29.000
RollerBallBrain,0.409,604.890,3.748,2089,29.564
RollerBallBrain,0.396,609.359,3.822,2067,29.995
RollerBallBrain,0.436,613.624,3.618,2061,30.232
RollerBallBrain,0.436,618.021,3.734,2074,30.897
RollerBallBrain,0.412,622.310,3.671,2084,31.369
RollerBallBrain,0.396,626.712,3.770,2139,31.859
RollerBallBrain,0.406,631.295,3.948,2087,32.097
RollerBallBrain,0.403,635.610,3.689,2093,32.599
RollerBallBrain,0.444,640.123,3.825,2084,32.898
RollerBallBrain,0.413,644.553,3.788,2080,33.806
RollerBallBrain,0.409,648.859,3.662,2058,34.229
RollerBallBrain,0.413,653.171,3.685,2054,34.771
RollerBallBrain,0.438,657.666,3.814,2078,35.334
RollerBallBrain,0.392,662.247,3.973,2092,35.940
RollerBallBrain,0.388,666.582,3.718,2085,35.955
RollerBallBrain,0.408,670.931,3.730,2083,36.131
RollerBallBrain,0.396,675.485,3.928,2081,36.169
RollerBallBrain,0.443,679.945,3.788,2065,36.511
RollerBallBrain,0.415,684.373,3.772,2056,37.825
RollerBallBrain,0.491,688.847,3.749,2097,38.312
RollerBallBrain,0.426,693.379,3.873,2076,38.749
RollerBallBrain,0.412,697.666,3.664,2050,39.209
