Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.468,7.311,5.558,2073,-9.794
RollerBallBrain,0.409,11.536,3.581,2051,-8.615
RollerBallBrain,0.444,15.837,3.623,2052,-9.080
RollerBallBrain,0.469,20.379,3.815,2056,-7.986
RollerBallBrain,0.409,24.975,3.900,2052,-8.011
RollerBallBrain,0.735,29.958,3.974,2049,-9.906
RollerBallBrain,0.567,35.695,4.768,2162,-9.536
RollerBallBrain,0.635,41.521,4.816,2174,-9.582
RollerBallBrain,0.627,47.148,4.657,2128,-9.119
RollerBallBrain,0.623,53.053,4.895,2121,-8.749
RollerBallBrain,0.604,58.434,4.435,2050,-10.235
RollerBallBrain,0.613,64.024,4.608,2109,-9.832
RollerBallBrain,0.595,69.341,4.393,2051,-9.841
RollerBallBrain,0.624,74.884,4.527,2099,-11.171
RollerBallBrain,0.632,80.322,4.436,2049,-11.141
RollerBallBrain,0.591,85.858,4.556,2053,-11.541
RollerBallBrain,0.675,91.485,4.582,2052,-11.038
RollerBallBrain,0.698,97.328,4.756,2066,-11.485
RollerBallBrain,0.548,102.603,4.378,2054,-11.124
RollerBallBrain,0.585,108.356,4.807,2054,-10.987
RollerBallBrain,0.576,113.761,4.497,2054,-11.598
RollerBallBrain,0.626,119.835,5.023,2052,-11.252
RollerBallBrain,0.731,125.025,4.127,2050,-11.335
RollerBallBrain,0.578,129.805,3.903,2058,-11.450
RollerBallBrain,0.524,134.630,4.010,2049,-11.540
RollerBallBrain,0.461,139.054,3.700,2054,-11.571
RollerBallBrain,0.466,143.793,3.996,2054,-11.290
RollerBallBrain,0.387,148.159,3.734,2055,-11.022
RollerBallBrain,0.460,152.741,3.862,2050,-10.774
RollerBallBrain,0.397,157.359,3.926,2054,-10.565
RollerBallBrain,0.484,162.200,4.062,2101,-10.410
RollerBallBrain,0.455,166.940,3.991,2098,-10.344
RollerBallBrain,0.408,171.443,3.829,2051,-10.353
RollerBallBrain,0.420,176.118,3.970,2058,-10.224
RollerBallBrain,0.446,180.635,3.800,2054,-10.171
RollerBallBrain,0.506,185.202,3.808,2069,-10.184
RollerBallBrain,0.420,190.313,4.385,2052,-10.028
RollerBallBrain,0.475,194.857,3.792,2051,-10.003
RollerBallBrain,0.421,199.955,4.375,2054,-9.942
RollerBallBrain,0.463,205.242,4.496,2064,-9.802
RollerBallBrain,0.449,210.115,4.132,2051,-9.740
RollerBallBrain,0.452,215.169,4.281,2061,-9.707
RollerBallBrain,0.549,220.500,4.451,2058,-9.650
RollerBallBrain,0.429,225.358,4.133,2050,-9.601
RollerBallBrain,0.446,230.181,4.080,2056,-9.491
RollerBallBrain,0.384,234.891,4.052,2050,-9.409
RollerBallBrain,0.488,239.987,4.307,2094,-9.349
RollerBallBrain,0.418,244.271,3.620,2072,-9.354
RollerBallBrain,0.479,249.040,4.000,2049,-9.253
