Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.188,4.937,3.851,2082,-5.602
RollerBallBrain,0.158,8.012,2.652,2064,-5.516
RollerBallBrain,0.156,11.484,2.966,2077,-5.647
RollerBallBrain,0.158,14.774,2.816,2095,-5.655
RollerBallBrain,0.157,18.063,2.851,2057,-5.657
RollerBallBrain,0.155,21.272,2.773,2069,-5.739
RollerBallBrain,0.161,24.615,2.839,2101,-5.724
RollerBallBrain,0.161,27.915,2.849,2094,-5.700
RollerBallBrain,0.157,31.300,2.932,2057,-5.708
RollerBallBrain,0.158,34.710,2.957,2108,-5.821
RollerBallBrain,0.157,38.009,2.851,2052,-5.790
RollerBallBrain,0.157,41.470,3.045,2080,-5.790
RollerBallBrain,0.158,44.833,2.994,2080,-5.790
RollerBallBrain,0.158,48.239,3.017,2080,-5.790
RollerBallBrain,0.157,51.624,3.016,2080,-5.790
RollerBallBrain,0.157,55.006,3.007,2080,-5.790
RollerBallBrain,0.159,58.380,3.000,2066,-5.862
RollerBallBrain,0.157,61.813,2.979,2078,-5.921
RollerBallBrain,0.160,65.178,2.926,2110,-6.177
RollerBallBrain,0.166,68.633,2.989,2110,-6.174
RollerBallBrain,0.161,72.114,3.030,2072,-6.100
RollerBallBrain,0.164,75.671,3.102,2092,-5.980
RollerBallBrain,0.168,79.267,3.128,2064,-5.944
RollerBallBrain,0.165,84.315,4.587,2063,-5.825
RollerBallBrain,0.157,87.595,2.836,2062,-5.671
RollerBallBrain,0.169,91.164,3.086,2113,-5.515
RollerBallBrain,0.157,94.528,2.910,2068,-5.383
RollerBallBrain,0.158,98.103,3.097,2113,-5.230
RollerBallBrain,0.156,101.574,3.007,2059,-5.041
RollerBallBrain,0.158,105.002,2.955,2074,-4.920
RollerBallBrain,0.157,108.286,2.862,2057,-4.782
RollerBallBrain,0.160,111.838,3.075,2156,-4.546
RollerBallBrain,0.161,115.234,2.917,2083,-4.457
RollerBallBrain,0.158,118.824,3.123,2097,-4.278
RollerBallBrain,0.157,122.158,2.904,2085,-4.136
RollerBallBrain,0.160,125.490,2.891,2065,-3.991
RollerBallBrain,0.160,128.936,2.964,2058,-3.781
RollerBallBrain,0.155,132.366,2.962,2050,-3.625
RollerBallBrain,0.159,135.827,2.990,2074,-3.502
RollerBallBrain,0.159,139.089,2.795,2084,-3.364
RollerBallBrain,0.160,142.488,2.954,2058,-3.252
RollerBallBrain,0.160,145.871,2.908,2106,-3.141
RollerBallBrain,0.156,149.300,2.983,2088,-3.020
RollerBallBrain,0.158,152.621,2.856,2049,-2.950
RollerBallBrain,0.157,156.106,3.027,2102,-2.840
RollerBallBrain,0.157,159.476,2.899,2075,-2.743
RollerBallBrain,0.157,163.038,3.063,2107,-2.657
RollerBallBrain,0.154,166.415,2.928,2049,-2.567
RollerBallBrain,0.157,169.725,2.861,2100,-2.481
RollerBallBrain,0.155,173.136,2.933,2057,-2.403
RollerBallBrain,0.157,176.505,2.915,2085,-2.408
RollerBallBrain,0.158,179.866,2.911,2051,-2.333
RollerBallBrain,0.160,183.220,2.877,2098,-2.245
RollerBallBrain,0.157,186.755,3.063,2108,-2.145
RollerBallBrain,0.154,190.116,2.910,2090,-2.048
RollerBallBrain,0.156,193.673,3.085,2062,-1.949
RollerBallBrain,0.157,196.967,2.854,2057,-1.866
RollerBallBrain,0.157,200.392,2.955,2064,-1.768
RollerBallBrain,0.156,203.735,2.913,2056,-1.685
RollerBallBrain,0.156,207.124,2.922,2049,-1.614
RollerBallBrain,0.162,210.479,2.891,2068,-1.549
RollerBallBrain,0.156,213.751,2.816,2095,-1.498
RollerBallBrain,0.160,217.294,3.070,2107,-1.460
RollerBallBrain,0.160,220.600,2.853,2058,-1.395
RollerBallBrain,0.158,224.195,3.114,2085,-1.333
RollerBallBrain,0.164,227.430,2.768,2083,-1.269
RollerBallBrain,0.159,230.868,2.983,2078,-1.201
RollerBallBrain,0.158,234.250,2.922,2100,-1.136
RollerBallBrain,0.160,237.648,2.919,2059,-1.079
RollerBallBrain,0.159,240.971,2.849,2054,-1.036
RollerBallBrain,0.158,244.280,2.863,2078,-1.002
RollerBallBrain,0.162,247.716,2.961,2086,-0.956
RollerBallBrain,0.156,251.168,2.965,2081,-0.912
RollerBallBrain,0.162,254.614,2.980,2066,-0.870
RollerBallBrain,0.160,257.997,2.917,2064,-0.821
RollerBallBrain,0.158,261.398,2.933,2056,-0.784
RollerBallBrain,0.157,264.703,2.839,2052,-0.753
RollerBallBrain,0.162,268.070,2.894,2072,-0.716
RollerBallBrain,0.157,271.425,2.906,2076,-0.674
RollerBallBrain,0.159,274.813,2.922,2058,-0.653
RollerBallBrain,0.157,278.187,2.906,2081,-0.626
RollerBallBrain,0.158,281.602,2.966,2062,-0.591
RollerBallBrain,0.161,285.038,2.971,2087,-0.557
RollerBallBrain,0.158,288.288,2.822,2054,-0.531
RollerBallBrain,0.158,291.711,2.964,2071,-0.506
RollerBallBrain,0.158,295.117,2.935,2063,-0.482
RollerBallBrain,0.158,298.410,2.846,2065,-0.452
RollerBallBrain,0.156,301.823,2.928,2055,-0.426
RollerBallBrain,0.156,305.077,2.780,2065,-0.410
RollerBallBrain,0.158,308.488,2.944,2081,-0.392
RollerBallBrain,0.158,311.871,2.913,2066,-0.373
RollerBallBrain,0.159,315.350,3.002,2092,-0.355
RollerBallBrain,0.166,318.669,2.855,2071,-0.331
RollerBallBrain,0.159,322.140,3.000,2070,-0.308
