Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
BigWallJumpLearning,0.687,6.059,2.995,2050,-1.076
BigWallJumpLearning,0.248,9.031,2.355,2164,-1.123
BigWallJumpLearning,0.248,11.899,1.705,2082,-1.123
BigWallJumpLearning,0.249,14.094,1.711,2060,-1.138
BigWallJumpLearning,0.266,16.680,1.993,2140,-1.146
BigWallJumpLearning,0.252,19.527,2.008,2086,-1.169
BigWallJumpLearning,0.247,22.985,2.522,2152,-1.164
BigWallJumpLearning,0.266,26.209,2.533,2053,-1.171
BigWallJumpLearning,0.247,28.703,1.726,2079,-1.150
BigWallJumpLearning,0.250,31.515,2.191,2063,-1.143
BigWallJumpLearning,0.249,34.293,1.980,2053,-1.133
BigWallJumpLearning,0.251,36.313,1.521,2103,-1.137
BigWallJumpLearning,0.260,38.712,1.851,2054,-1.125
BigWallJumpLearning,0.258,40.866,1.669,2148,-1.123
BigWallJumpLearning,0.244,43.115,1.527,2126,-1.105
BigWallJumpLearning,0.240,45.499,1.893,2056,-1.107
BigWallJumpLearning,0.244,47.449,1.506,2119,-1.107
BigWallJumpLearning,0.266,49.818,1.837,2150,-1.108
BigWallJumpLearning,0.256,52.544,1.954,2166,-1.105
BigWallJumpLearning,0.262,55.294,2.183,2206,-1.099
BigWallJumpLearning,0.252,57.944,1.858,2160,-1.099
BigWallJumpLearning,0.237,60.116,1.680,2105,-1.100
BigWallJumpLearning,0.267,62.384,1.737,2050,-1.088
BigWallJumpLearning,0.238,65.172,1.986,2148,-1.087
BigWallJumpLearning,0.247,67.121,1.487,2115,-1.087
BigWallJumpLearning,0.249,69.296,1.667,2076,-1.091
BigWallJumpLearning,0.269,71.562,1.751,2117,-1.089
BigWallJumpLearning,0.265,73.690,1.623,2143,-1.089
BigWallJumpLearning,0.252,76.337,1.857,2146,-1.087
BigWallJumpLearning,0.252,78.048,1.267,2079,-1.093
BigWallJumpLearning,0.255,80.472,1.879,2109,-1.084
BigWallJumpLearning,0.252,83.465,2.167,2060,-1.072
BigWallJumpLearning,0.247,86.033,2.005,2105,-1.066
BigWallJumpLearning,0.250,88.218,1.714,2053,-1.066
BigWallJumpLearning,0.255,90.069,1.420,2173,-1.064
BigWallJumpLearning,0.241,92.890,2.045,2082,-1.062
BigWallJumpLearning,0.277,95.373,1.950,2210,-1.057
BigWallJumpLearning,0.252,97.526,1.682,2157,-1.055
BigWallJumpLearning,0.261,99.720,1.698,2161,-1.051
BigWallJumpLearning,0.250,101.814,1.403,2054,-1.043
BigWallJumpLearning,0.253,103.860,1.573,2056,-1.039
BigWallJumpLearning,0.254,105.927,1.576,2126,-1.040
BigWallJumpLearning,0.250,108.191,1.757,2148,-1.040
BigWallJumpLearning,0.264,110.392,1.694,2273,-1.040
BigWallJumpLearning,0.263,112.644,1.744,2058,-1.028
BigWallJumpLearning,0.252,114.618,1.282,2068,-1.018
BigWallJumpLearning,0.245,117.029,1.888,2063,-1.015
BigWallJumpLearning,0.248,119.320,1.798,2077,-1.017
BigWallJumpLearning,0.249,121.190,1.435,2055,-1.016
BigWallJumpLearning,0.249,122.845,1.237,2051,-1.017
BigWallJumpLearning,0.252,125.610,1.955,2089,-1.019
BigWallJumpLearning,0.245,127.893,1.772,2058,-1.017
BigWallJumpLearning,0.256,129.951,1.604,2158,-1.014
BigWallJumpLearning,0.259,132.029,1.618,2117,-1.016
BigWallJumpLearning,0.264,134.200,1.685,2116,-1.017
BigWallJumpLearning,0.256,136.403,1.484,2129,-1.016
BigWallJumpLearning,0.251,138.639,1.773,2052,-1.015
BigWallJumpLearning,0.252,140.266,1.228,2103,-1.014
BigWallJumpLearning,0.270,142.368,1.599,2176,-1.011
BigWallJumpLearning,0.278,144.337,1.485,2195,-1.010
BigWallJumpLearning,0.262,146.901,2.002,2276,-1.004
BigWallJumpLearning,0.253,149.947,2.198,2149,-0.998
BigWallJumpLearning,0.267,152.585,2.066,2169,-0.992
BigWallJumpLearning,0.260,154.410,1.368,2090,-0.992
BigWallJumpLearning,0.246,156.968,1.792,2124,-0.987
BigWallJumpLearning,0.257,159.169,1.692,2098,-0.986
BigWallJumpLearning,0.276,161.662,1.937,2201,-0.976
BigWallJumpLearning,0.250,163.835,1.675,2165,-0.973
BigWallJumpLearning,0.253,166.107,1.555,2065,-0.973
BigWallJumpLearning,0.252,168.454,1.813,2139,-0.973
BigWallJumpLearning,0.264,170.954,1.977,2181,-0.971
BigWallJumpLearning,0.249,173.210,1.792,2114,-0.968
BigWallJumpLearning,0.256,175.530,1.598,2052,-0.970
BigWallJumpLearning,0.250,177.446,1.484,2097,-0.969
